Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
DJ Hussey,2,52,34,1,52,152.94,38,4,2,0,0
SPD Smith,3,53,51,2,26.5,103.92,25,4,1,0,0
MG Johnson,4,25,19,1,25,131.58,12,3,0,0,0
BRM Taylor,6,170,195,6,28.33,87.18,80,20,1,1,0
CK Coventry,3,18,36,3,6,50,14,1,1,0,0
T Taibu,6,189,243,6,31.5,77.78,98,20,0,2,0
CR Ervine,6,231,269,6,38.5,85.87,85,24,3,3,0
E Chigumbura,6,96,135,5,19.2,71.11,38,8,2,0,0
SC Williams,2,58,65,2,29,89.23,30,4,1,0,0
RW Chakabva,5,50,109,5,10,45.87,35,4,0,0,0
P Utseya,6,123,188,5,24.6,65.43,36,9,1,0,0
AG Cremer,4,99,144,3,33,68.75,37,8,0,0,0
RW Price,4,37,59,2,18.5,62.71,11,4,0,0,0
CB Mpofu,3,6,21,2,3,28.57,3,0,0,0,0
AN Kervezee,6,81,126,6,13.5,64.29,18,10,0,0,0
W Barresi,6,153,232,6,25.5,65.95,44,18,2,0,0
TLW Cooper,6,174,259,5,34.8,67.18,55,18,0,1,0
RN ten Doeschate,6,307,344,5,61.4,89.24,119,26,5,1,2
B Zuiderent,4,17,46,4,4.25,36.96,15,1,1,0,0
TN de Grooth,5,50,88,5,10,56.82,28,3,0,0,0
PW Borren,6,173,192,5,34.6,90.1,84,18,2,1,0
Mudassar Bukhari,6,68,90,5,13.6,75.56,24,4,3,0,0
AJ Strauss,7,334,357,7,47.71,93.56,158,34,3,1,1
KP Pietersen,4,131,136,4,32.75,96.32,59,17,2,1,0
IJL Trott,7,422,522,7,60.29,80.84,92,28,0,5,0
IR Bell,7,245,307,7,35,79.8,81,16,2,2,0
PD Collingwood,4,61,52,3,20.33,117.31,30,3,1,0,0
RS Bopara,5,141,212,4,35.25,66.51,60,7,2,1,0
Mohammad Hafeez,8,215,265,7,30.71,81.13,61,32,1,1,0
Ahmed Shehzad,5,44,91,5,8.8,48.35,13,7,0,0,0
Kamran Akmal,7,207,278,6,34.5,74.46,55,28,0,1,0
Younis Khan,7,185,261,6,30.83,70.88,72,11,0,2,0
Misbah-ul-Haq,6,248,336,5,49.6,73.81,83,13,3,3,0
Umar Akmal,6,240,276,5,48,86.96,71,21,5,1,0
Shahid Afridi,7,84,67,7,12,125.37,20,9,1,0,0
Abdur Rehman,2,6,13,1,6,46.15,5,0,0,0,0
Abdul Razzaq,6,104,125,4,26,83.2,62,13,0,1,0
T Mishra,5,133,200,5,26.6,66.5,72,13,1,2,0
CH Gayle,5,170,179,4,42.5,94.97,80,23,3,1,0
DM Bravo,7,139,196,6,23.17,70.92,73,12,4,1,0
DS Smith,7,300,391,7,42.86,76.73,107,32,2,2,1
RR Sarwan,6,155,275,6,25.83,56.36,49,16,1,0,0
S Chanderpaul,4,114,225,3,38,50.67,44,4,2,0,0
DJ Bravo,1,40,37,1,40,108.11,40,1,3,0,0
DC Thomas,6,41,76,6,6.83,53.95,15,3,0,0,0
KA Pollard,6,180,120,6,30,150,94,14,11,2,0
DJG Sammy,6,54,49,6,9,110.2,41,4,3,0,0
KAJ Roach,4,19,53,3,6.33,35.85,16,2,0,0,0
SJ Benn,5,16,35,4,4,45.71,6,1,0,0,0
HM Amla,7,306,349,7,43.71,87.68,113,26,1,2,1
GC Smith,7,183,300,7,26.14,61,45,13,0,0,0
JH Kallis,7,225,309,7,32.14,72.82,69,18,1,2,0
AB de Villiers,5,353,326,4,88.25,108.28,134,31,7,1,2
JP Duminy,7,224,229,6,37.33,97.82,99,12,6,1,0
JD Ryder,5,184,265,5,36.8,69.43,83,21,0,1,0
LRPL Taylor,6,324,372,5,64.8,87.1,131,20,14,1,1
JEC Franklin,4,52,42,3,17.33,123.81,31,4,3,0,0
SB Styris,6,142,165,6,23.67,86.06,57,12,2,1,0
JM How,2,26,76,2,13,34.21,22,1,0,0,0
NL McCullum,6,100,130,6,16.67,76.92,52,6,3,1,0
DL Vettori,3,53,50,2,26.5,106,44,6,0,0,0
TG Southee,3,14,21,3,4.67,66.67,8,1,0,0,0
Mohammad Ashraful,2,12,27,2,6,44.44,11,2,0,0,0
WTS Porterfield,6,180,270,6,30,66.67,75,21,1,2,0
PR Stirling,6,157,128,6,26.17,122.66,101,23,3,0,1
EC Joyce,6,176,264,6,29.33,66.67,84,18,0,1,0
NJ O'Brien,6,205,271,5,41,75.65,57,17,2,1,0
AR White,2,15,37,2,7.5,40.54,10,1,0,0,0
KJ O'Brien,6,198,158,5,39.6,125.32,113,19,9,0,1
AC Botha,2,22,43,2,11,51.16,22,2,0,0,0
JF Mooney,5,58,90,4,14.5,64.44,33,8,0,0,0
DT Johnston,4,42,46,3,14,91.3,17,4,1,0,0
GH Dockrell,4,42,53,3,14,79.25,19,6,0,0,0
WB Rankin,4,9,25,1,9,36,5,0,0,0,0
LPC Silva,4,77,110,4,19.25,70,57,8,0,1,0
HMRKB Herath,1,4,10,0,0,40,4,0,0,0,0
M Muralitharan,2,7,4,1,7,175,7,0,1,0,0
Yuvraj Singh,8,362,420,4,90.5,86.19,113,39,3,4,1
MS Dhoni,8,241,295,5,48.2,81.69,91,19,3,1,0
Z Khan,4,18,21,4,4.5,85.71,9,2,0,0,0
Harbhajan Singh,4,18,31,4,4.5,58.06,12,2,0,0,0
PP Chawla,1,2,4,1,2,50,2,0,0,0,0
MJ Prior,6,78,92,5,15.6,84.78,22,9,0,0,0
MH Yardy,3,19,33,3,6.33,57.58,13,1,0,0,0
TT Bresnan,5,41,50,4,10.25,82,20,2,1,0,0
GP Swann,6,60,51,4,15,117.65,16,7,1,0,0
A Shahzad,2,7,5,1,7,140,6,0,1,0,0
GA Lamb,5,62,86,4,15.5,72.09,18,4,1,0,0
NR Kumar,3,10,41,3,3.33,24.39,7,0,0,0,0
NO Miller,2,16,13,0,0,123.08,11,2,0,0,0
PM Seelaar,4,3,17,3,1,17.65,2,0,0,0,0
BP Loots,2,6,8,2,3,75,6,0,1,0,0
BA Westdijk,2,0,3,2,0,0,0,0,0,0,0
DO Obuya,4,65,132,4,16.25,49.24,51,5,0,1,0
PJ Ongondo,2,6,3,2,3,200,6,0,1,0,0
GC Wilson,4,122,145,4,30.5,84.14,61,12,4,1,0
AR Cusack,4,80,104,4,20,76.92,47,7,1,0,0
F du Plessis,6,159,189,4,39.75,84.13,52,10,3,1,0
Umar Gul,3,38,32,1,38,118.75,34,3,1,0,0
Wahab Riaz,2,8,17,2,4,47.06,8,1,0,0,0
Saeed Ajmal,2,1,10,1,1,10,1,0,0,0,0
T Panyangara,2,4,13,1,4,30.77,4,1,0,0,0
SCJ Broad,1,0,3,1,0,0,0,0,0,0,0
JM Anderson,2,4,11,0,0,36.36,2,0,0,0,0
MN van Wyk,4,65,88,4,16.25,73.86,42,8,1,0,0
RJ Peterson,4,43,37,2,21.5,116.22,22,6,1,0,0
DW Steyn,2,28,49,2,14,57.14,20,4,0,0,0
M Morkel,2,4,20,2,2,20,3,0,0,0,0
Imran Tahir,2,1,2,0,0,50,1,0,0,0,0
JO Ngoche,2,10,24,1,10,41.67,9,0,1,0,0
JDP Oram,4,59,51,3,19.67,115.69,25,5,3,0,0
KD Mills,1,7,3,0,0,233.33,7,1,0,0,0
Shoaib Akhtar,1,0,2,1,0,0,0,0,0,0,0
ES Szwarczynski,3,57,109,3,19,52.29,28,4,1,0,0
BP Kruger,1,8,12,1,8,66.67,8,1,0,0,0
AD Russell,3,52,58,3,17.33,89.66,49,2,3,0,0
EJG Morgan,3,120,140,3,40,85.71,63,12,0,2,0
A Nehra,2,1,5,2,0.5,20,1,0,0,0,0
MM Patel,2,1,3,2,0.5,33.33,1,0,0,0,0
J Botha,4,58,59,3,19.33,98.31,23,5,1,0,0
KS Williamson,4,99,92,2,49.5,107.61,38,8,1,0,0
H Patel,2,85,80,2,42.5,106.25,54,10,4,1,0
MEK Hussey,3,69,74,3,23,93.24,54,4,0,1,0
AF Buurman,2,26,32,2,13,81.25,26,4,0,0,0
Adeel Raja,1,0,5,2,0,0,0,0,0,0,0
Shahriar Nafees,2,42,72,2,21,58.33,37,5,0,0,0
V Sibanda,2,66,68,2,33,97.06,61,8,1,1,0
Asad Shafiq,3,154,217,2,77,70.97,78,14,0,1,0
CA Ingram,1,46,43,1,46,106.98,46,7,0,0,0
K Whatham,1,18,41,1,18,43.9,18,2,0,0,0
LJ Wright,2,45,60,1,45,75,44,5,0,0,0
JC Tredwell,1,9,20,1,9,45,9,0,0,0,0
CT Tremlett,1,3,7,1,3,42.86,3,0,0,0,0
D Bishoo,3,6,15,1,6,40,6,1,0,0,0
SL Malinga,1,6,4,1,6,150,6,0,1,0,0
BAW Mendis,1,0,2,0,0,0,0,0,0,0,0
HK Bennett,1,0,4,1,0,0,0,0,0,0,0
WD Parnell,1,0,1,1,0,0,0,0,0,0,0
LL Tsotsobe,1,4,2,0,0,200,4,1,0,0,0
JJ Krejza,1,7,19,1,7,36.84,7,0,0,0,0
B Lee,1,5,8,1,5,62.5,5,1,0,0,0
SW Tait,1,0,1,0,0,0,0,0,0,0,0
SK Raina,3,74,75,1,74,98.67,36,5,1,0,0
R Ashwin,1,10,7,0,0,142.86,10,1,0,0,0
KA Edwards,1,17,17,1,17,100,17,1,1,0,0
R Rampaul,2,1,9,2,0.5,11.11,1,0,0,0,0
LJ Woodcock,1,3,3,0,0,100,3,0,0,0,0
AJ McKay,1,0,2,1,0,0,0,0,0,0,0
