Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
V Sehwag,8,380,310,8,47.5,122.58,175,49,7,1,1
SR Tendulkar,9,482,524,9,53.56,91.98,120,52,8,2,2
G Gambhir,9,393,462,9,43.67,85.06,97,37,0,4,0
V Kohli,9,282,343,8,35.25,82.22,100,24,2,1,1
YK Pathan,6,74,64,5,14.8,115.62,30,5,5,0,0
Tamim Iqbal,6,157,176,6,26.17,89.2,70,16,1,1,0
Imrul Kayes,6,188,277,5,37.6,67.87,73,21,0,2,0
Junaid Siddique,6,114,159,6,19,71.7,37,11,1,0,0
Shakib Al Hasan,6,142,200,6,23.67,71,55,14,0,1,0
Mushfiqur Rahim,6,81,153,5,16.2,52.94,36,6,1,0,0
Raqibul Hasan,4,70,116,3,23.33,60.34,38,1,1,0,0
Mahmudullah,3,32,65,2,16,49.23,21,2,0,0,0
Naeem Islam,5,40,75,5,8,53.33,29,4,0,0,0
Abdur Razzak,5,15,34,4,3.75,44.12,11,0,0,0,0
Shafiul Islam,5,26,50,4,6.5,52,24,4,1,0,0
Rubel Hossain,4,11,19,1,11,57.89,8,2,0,0,0
AA Obanda,3,43,65,3,14.33,66.15,23,4,2,0,0
SR Waters,4,38,90,4,9.5,42.22,17,3,0,0,0
CO Obuya,6,243,347,5,48.6,70.03,98,21,7,2,0
SO Tikolo,5,44,86,5,8.8,51.16,13,5,0,0,0
MA Ouma,5,22,65,5,4.4,33.85,16,1,0,0,0
RR Patel,4,46,73,3,15.33,63.01,24,5,0,0,0
JK Kamande,4,27,80,4,6.75,33.75,22,3,0,0,0
TM Odoyo,5,102,143,5,20.4,71.33,51,11,2,1,0
NN Odhiambo,5,56,78,3,18.67,71.79,44,7,0,0,0
SO Ngoche,3,0,3,3,0,0,0,0,0,0,0
E Otieno,5,13,37,4,3.25,35.14,8,1,0,0,0
MJ Guptill,8,262,382,6,43.67,68.59,86,28,4,2,0
BB McCullum,8,256,277,6,42.67,92.42,101,28,6,1,1
WU Tharanga,9,395,472,7,56.43,83.69,133,52,2,1,2
TM Dilshan,9,500,551,8,62.5,90.74,144,61,4,2,2
KC Sangakkara,8,465,555,5,93,83.78,111,44,5,3,1
DPMD Jayawardene,7,304,304,6,50.67,100,103,32,1,1,2
NLTC Perera,4,44,31,3,14.67,141.94,22,5,1,0,0
AD Mathews,5,94,90,3,31.33,104.44,41,10,1,0,0
CK Kapugedera,2,3,8,2,1.5,37.5,2,0,0,0,0
TT Samaraweera,7,110,149,3,36.67,73.83,34,11,0,0,0
KMDN Kulasekara,4,64,53,3,21.33,120.75,32,4,2,0,0
R Gunasekera,5,53,124,5,10.6,42.74,24,5,0,0,0
JM Davison,5,33,43,4,8.25,76.74,15,6,0,0,0
ZE Surkari,6,104,231,6,17.33,45.02,34,7,0,0,0
AS Hansra,6,215,373,5,43,57.64,70,16,5,2,0
A Bagai,6,225,322,5,45,69.88,84,27,0,2,0
Rizwan Cheema,6,76,72,6,12.67,105.56,37,9,4,0,0
TG Gordon,4,23,53,4,5.75,43.4,9,2,0,0,0
Khurram Chohan,4,39,66,3,13,59.09,22,4,1,0,0
HS Baidwan,5,54,79,3,18,68.35,17,6,0,0,0
WD Balaji Rao,5,22,41,5,4.4,53.66,9,2,0,0,0
H Osinde,3,6,16,2,3,37.5,4,0,0,0,0
SR Watson,6,290,314,6,48.33,92.36,94,32,7,3,0
BJ Haddin,6,332,421,6,55.33,78.86,88,40,5,4,0
RT Ponting,6,206,284,6,34.33,72.54,104,15,1,0,1
MJ Clarke,6,233,256,3,77.67,91.02,93,20,1,2,0
CL White,6,70,113,4,17.5,61.95,22,4,0,0,0
