Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Codrington,4,25,129,6,5.16,21.5,25,0,1,5/27,16,3,98
A Flintoff,5,48.4,140,7,2.88,20,41.71,0,0,2/15,16,1,222
A Kumble,3,27,107,5,3.96,21.4,32.4,1,0,4/32,9,0,99
A Nehra,9,69.1,289,15,4.18,19.27,27.67,1,1,6/23,28,2,263
A Patel,2,10,73,3,7.3,24.33,20,0,0,3/41,9,2,34
A Symonds,5,27,123,2,4.56,61.5,81,0,0,2/7,10,1,96
AA Donald,3,24.5,133,1,5.36,133,149,0,0,1/52,16,2,91
Abdul Razzaq,4,26,129,1,4.96,129,156,0,0,1/23,15,0,98
Adeel Raja,3,22.5,123,6,5.39,20.5,22.83,1,0,4/42,10,1,61
AF Giles,1,10,42,2,4.2,21,30,0,0,2/42,2,1,31
AJ Bichel,8,57,198,16,3.47,12.38,21.38,0,1,7/20,15,2,227
AJ Burger,5,16,104,3,6.5,34.67,32,0,0,1/18,9,1,38
AJ Hall,3,23,103,5,4.48,20.6,27.6,0,0,2/15,12,1,95
Alok Kapali,6,23,96,2,4.17,48,69,0,0,1/3,3,4,81
AM Blignaut,6,57,255,4,4.47,63.75,85.5,0,0,2/41,26,0,209
AO Suji,3,16,94,1,5.88,94,96,0,0,1/45,7,3,47
AR Adams,7,57.4,347,10,6.02,34.7,34.6,1,0,4/44,44,5,203
AR Caddick,5,44,178,8,4.05,22.25,33,1,0,4/35,21,3,203
AY Karim,4,23.2,69,3,2.96,23,46.67,0,0,3/7,6,1,97
B Lee,10,83.1,394,22,4.74,17.91,22.68,0,1,5/42,41,6,360
BA Murphy,4,30,139,5,4.63,27.8,36,0,0,3/44,8,3,99
BB Seebaran,3,18,130,1,7.22,130,108,0,0,1/61,8,6,41
BL Kotze,5,43,276,3,6.42,92,86,0,0,2/51,25,5,113
BO van Rooi,3,20,119,1,5.95,119,120,0,0,1/24,9,2,61
C White,5,45,179,9,3.98,19.89,30,0,0,3/33,14,4,174
CD McMillan,1,2,4,0,2,0,0,0,0,0/4,0,0,8
CH Gayle,4,34,168,4,4.94,42,51,0,0,2/60,4,9,110
CK Langeveldt,1,5,24,0,4.8,0,0,0,0,0/24,2,0,19
CL Cairns,3,8,54,2,6.75,27,24,0,0,2/16,7,1,30
CL Hooper,4,33.1,166,3,5.01,55.33,66.33,0,0,2/63,11,2,94
CO Obuya,8,68.5,334,12,4.85,27.83,34.42,0,1,5/24,30,8,247
CRD Fernando,9,48,268,8,5.58,33.5,36,0,0,3/47,28,3,155
CZ Harris,5,35,129,2,3.69,64.5,105,0,0,1/19,9,2,133
D Joseph,4,31,170,5,5.48,34,37.2,0,0,2/42,21,3,122
D Mongia,6,32.1,135,5,4.2,27,38.6,0,0,2/24,6,3,109
DA Marillier,4,30,133,4,4.43,33.25,45,0,0,2/49,10,1,93
DB Kotze,6,47,256,2,5.45,128,141,0,0,1/32,11,7,124
DL Vettori,7,65,259,2,3.98,129.5,195,0,0,1/38,14,3,217
DLS van Bunge,4,12,85,5,7.08,17,14.4,0,0,3/16,10,0,32
DR Martyn,1,4,21,0,5.25,0,0,0,0,0/21,3,0,13
DR Tuffey,2,15,77,1,5.13,77,90,0,0,1/41,9,0,61
DS Lehmann,7,36,137,6,3.81,22.83,36,0,0,2/22,9,1,120
DT Hondo,8,50.1,265,6,5.28,44.17,50.17,0,0,1/16,27,2,164
E Schiferli,6,49,261,4,5.33,65.25,73.5,0,0,2/43,34,0,168
Ehsanul Haque,1,10,34,2,3.4,17,30,0,0,2/34,1,0,32
G Snyman,5,48,281,6,5.85,46.83,48,0,0,3/69,30,1,160
GB Hogg,9,75.4,322,13,4.26,24.77,34.92,0,0,3/46,26,8,283
GC Smith,1,1,10,0,10,0,0,0,0,0/10,2,0,2
GD McGrath,11,87,310,21,3.56,14.76,24.86,0,1,7/15,35,3,377
GJ Whittall,5,22.3,121,4,5.38,30.25,33.75,0,0,2/20,14,0,75
GW Flower,5,34.1,131,3,3.83,43.67,68.33,0,0,2/14,10,0,112
Harbhajan Singh,9,85.2,335,11,3.93,30.45,46.55,0,0,2/28,23,4,315
HH Streak,8,62.4,303,7,4.84,43.29,53.71,0,0,2/35,37,2,225
HJC Mol,3,13,89,2,6.85,44.5,39,0,0,1/24,5,2,27
HK Olonga,2,7,29,1,4.14,29,42,0,0,1/21,3,0,40
I Maraj,1,4.3,22,0,4.89,0,0,0,0,0/22,3,0,15
ID Blackwell,1,10,37,2,3.7,18.5,30,0,0,2/37,4,0,38
IJ Harvey,6,36,157,8,4.36,19.62,27,1,0,4/58,13,4,131
J Srinath,11,91.1,369,16,4.05,23.06,34.19,2,0,4/30,31,5,367
JDP Oram,8,70,295,14,4.21,21.07,30,1,0,4/52,25,6,277
JF Kloppenburg,5,38.2,168,7,4.38,24,32.86,1,0,4/42,11,0,115
JH Kallis,6,41,193,3,4.71,64.33,82,0,0,3/41,18,1,140
JJ Esmeijer,4,31,154,0,4.97,0,0,0,0,0/16,13,2,94
JJC Lawson,1,8,16,2,2,8,24,0,0,2/16,1,0,41
JL Louw,1,10,60,1,6,60,60,0,0,1/60,7,0,27
JM Anderson,5,46.5,225,10,4.8,22.5,28.1,2,0,4/25,24,3,179
JM Davison,6,42,187,10,4.45,18.7,25.2,0,0,3/15,21,0,156
JN Gillespie,4,30,98,8,3.27,12.25,22.5,0,0,3/13,12,0,133
JO Angara,1,7,53,2,7.57,26.5,21,0,0,2/53,7,0,17
KD Mills,1,6,32,0,5.33,0,0,0,0,0/32,3,0,22
Khaled Mahmud,4,32,153,6,4.78,25.5,32,0,0,3/46,15,2,116
L Klusener,4,25,137,5,5.48,27.4,30,1,0,4/16,11,1,75
LJ Burger,6,55,297,6,5.4,49.5,55,0,0,3/39,26,4,171
LP van Troost,2,3,22,0,7.33,0,0,0,0,0/4,2,0,7
M Dillon,6,49.1,192,5,3.91,38.4,59,0,0,2/47,12,4,196
M Muralitharan,10,87.4,319,17,3.64,18.76,30.94,1,0,4/28,16,7,336
M Ntini,6,52.1,176,10,3.37,17.6,31.3,1,0,4/24,15,1,219
M Zondeki,3,20,76,2,3.8,38,60,0,0,1/17,9,0,84
MA Suji,9,62,264,7,4.26,37.71,53.14,0,0,3/19,31,4,251
Manjural Islam,6,42.1,206,5,4.89,41.2,50.6,0,0,3/62,26,4,170
Mashrafe Mortaza,2,13,76,2,5.85,38,39,0,0,2/38,13,0,53
MO Odumbe,5,34,188,5,5.53,37.6,40.8,0,0,2/41,12,8,104
Mohammad Ashraful,2,6.3,33,0,5.08,0,0,0,0,0/3,1,0,13
Mohammad Rafique,5,33.1,155,2,4.67,77.5,99.5,0,0,1/34,19,2,123
MP Vaughan,2,8,41,0,5.12,0,0,0,0,0/10,4,0,22
N Boje,3,14,84,1,6,84,84,0,0,1/44,9,2,43
N Ifill,3,12,88,0,7.33,0,0,0,0,0/7,10,1,31
NA de Groot,3,13.3,88,3,6.52,29.33,27,0,0,2/45,5,4,34
NAM McLean,1,6,38,0,6.33,0,0,0,0,0/38,7,0,20
NJ Astle,5,16,83,3,5.19,27.67,32,0,0,3/34,4,1,37
PA de Silva,8,58,276,9,4.76,30.67,38.67,0,0,2/36,15,5,169
PD Collingwood,1,4,15,1,3.75,15,24,0,0,1/15,0,0,11
PJ Ongondo,8,48.2,197,4,4.08,49.25,72.5,0,0,2/44,21,2,196
PT Collins,3,26,151,2,5.81,75.5,78,0,0,1/35,17,1,88
PW Gunaratne,6,38,230,4,6.05,57.5,57,0,0,2/24,29,2,126
RAP Nissanka,4,25,112,4,4.48,28,37.5,1,0,4/12,13,2,114
RC Irani,2,13.5,58,3,4.19,19.33,27.67,0,0,3/30,4,1,44
RJ Peterson,1,6,21,0,3.5,0,0,0,0,0/21,1,1,23
RJ van Vuuren,5,50,298,8,5.96,37.25,37.5,0,1,5/43,31,8,165
RL Powell,2,6,22,1,3.67,22,36,0,0,1/8,2,0,23
RP Arnold,6,23.3,132,3,5.62,44,47,0,0,3/47,3,3,54
RP Lefebvre,5,40,141,4,3.52,35.25,60,0,0,2/38,11,0,155
S Chanderpaul,1,2,6,0,3,0,0,0,0,0/6,0,0,7
S Matsikenyeri,1,2,13,0,6.5,0,0,0,0,0/13,1,0,4
S Thuraisingam,3,18.4,109,4,5.84,27.25,28,0,0,2/53,15,0,70
Saeed Anwar,1,4,15,1,3.75,15,24,0,0,1/15,1,0,13
Sanwar Hossain,4,24,108,5,4.5,21.6,28.8,0,0,3/49,7,3,77
Saqlain Mushtaq,3,18.4,77,4,4.12,19.25,28,0,0,2/44,5,2,70
SB Styris,7,34.4,183,4,5.28,45.75,52,0,0,2/23,18,3,121
SC Ganguly,5,20,88,3,4.4,29.33,40,0,0,3/22,5,2,71
SE Bond,8,78,305,17,3.91,17.94,27.53,0,1,6/23,38,1,342
SF Burger,2,11,67,0,6.09,0,0,0,0,0/32,4,2,26
Shahid Afridi,3,26.3,144,3,5.43,48,53,0,0,2/36,16,0,76
Shoaib Akhtar,5,44,252,11,5.73,22.91,24,1,0,4/46,22,3,157
SM Ervine,3,12,87,3,7.25,29,24,0,0,1/19,9,1,31
SM Pollock,6,48,172,8,3.58,21.5,36,0,0,2/8,15,2,204
SO Tikolo,5,31,139,6,4.48,23.17,31,0,0,2/2,4,3,97
SR Tendulkar,4,18,77,2,4.28,38.5,54,0,0,2/28,6,0,62
ST Jayasuriya,8,64,315,10,4.92,31.5,38.4,0,0,3/30,14,5,182
Talha Jubair,2,10,70,0,7,0,0,0,0,0/24,7,1,42
Tapash Baisya,4,22,126,2,5.73,63,66,0,0,1/22,17,2,79
TBM de Leede,6,45.5,253,11,5.52,23,25,1,0,4/35,26,1,145
TJ Friend,1,2,13,0,6.5,0,0,0,0,0/13,0,0,2
TM Odoyo,7,51.5,213,9,4.11,23.67,34.56,1,0,4/28,25,1,214
V Sehwag,7,22,88,2,4,44,66,0,0,1/3,2,1,69
VC Drakes,6,51.5,208,16,4.01,13,19.44,0,2,5/33,22,3,216
Waqar Younis,4,30.1,177,7,5.87,25.29,25.86,0,0,2/37,22,3,110
Wasim Akram,5,47.2,201,12,4.25,16.75,23.67,0,1,5/28,18,1,206
WPUJC Vaas,10,88,331,23,3.76,14.39,22.96,1,1,6/25,31,5,381
WW Hinds,4,19.5,88,7,4.44,12.57,17,0,0,3/35,6,0,61
Younis Khan,1,6,36,0,6,0,0,0,0,0/36,2,0,12
Yuvraj Singh,4,14.3,70,5,4.83,14,17.4,1,0,4/6,5,3,51
Z Khan,11,88.2,374,18,4.23,20.78,29.44,1,0,4/42,30,3,377
