Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
Najibullah Zadran,8,230,259,8,28.75,88.8,51,25,4,1,0
Rashid Khan,9,105,104,9,11.67,100.96,35,11,4,0,0
Dawlat Zadran,4,11,34,4,2.75,32.35,6,2,0,0,0
Mujeeb Ur Rahman,6,28,29,3,9.33,96.55,13,3,1,0,0
Hamid Hassan,5,15,24,3,5,62.5,7,1,1,0,0
AJ Finch,10,507,497,10,50.7,102.01,153,47,18,3,2
DA Warner,10,647,724,9,71.89,89.36,166,66,8,3,3
UT Khawaja,9,316,358,9,35.11,88.27,89,30,1,2,0
SPD Smith,10,379,441,10,37.9,85.94,85,33,2,4,0
GJ Maxwell,10,177,118,8,22.12,150,46,19,7,0,0
Tamim Iqbal,8,235,328,8,29.38,71.65,62,25,0,1,0
Soumya Sarkar,8,166,164,8,20.75,101.22,42,24,2,0,0
Shakib Al Hasan,8,606,631,7,86.57,96.04,124,60,2,5,2
Mushfiqur Rahim,8,367,396,7,52.43,92.68,102,30,2,2,1
Mohammad Mithun,3,47,56,3,15.67,83.93,26,5,1,0,0
Mahmudullah,6,219,244,5,43.8,89.75,69,14,5,1,0
Mosaddek Hossain,6,117,110,6,19.5,106.36,35,13,0,0,0
Mehidy Hasan Miraz,5,37,33,3,12.33,112.12,12,4,0,0,0
DA Miller,4,136,157,4,34,86.62,38,8,1,0,0
CH Morris,4,74,61,3,24.67,121.31,42,4,3,0,0
Asif Ali,2,19,19,2,9.5,100,14,0,1,0,0
Shoaib Malik,3,8,11,3,2.67,72.73,8,0,0,0,0
AU Rashid,4,45,38,4,11.25,118.42,25,4,1,0,0
MA Wood,3,11,12,2,5.5,91.67,10,2,0,0,0
N Pradeep,3,1,12,2,0.5,8.33,1,0,0,0,0
S Dhawan,2,125,121,2,62.5,103.31,117,17,0,0,1
RG Sharma,9,648,659,8,81,98.33,140,67,14,1,5
V Kohli,9,443,471,8,55.38,94.06,82,38,2,5,0
KL Rahul,9,361,466,8,45.12,77.47,111,31,5,2,1
MS Dhoni,8,273,311,6,45.5,87.78,56,20,5,2,0
HH Pandya,9,226,201,7,32.29,112.44,48,21,4,0,0
Mohammad Saifuddin,5,87,72,3,29,120.83,51,12,1,1,0
Mashrafe Mortaza,5,34,35,4,8.5,97.14,15,1,3,0,0
KS Williamson,9,578,771,7,82.57,74.97,148,51,3,2,2
LRPL Taylor,9,350,465,9,38.89,75.27,82,29,2,3,0
TWM Latham,9,155,216,8,19.38,71.76,57,8,1,1,0
JDS Neesham,8,232,294,7,33.14,78.91,97,16,5,1,0
C de Grandhomme,8,190,189,8,23.75,100.53,64,16,4,2,0
MJ Santner,8,72,99,3,24,72.73,17,4,2,0,0
MJ Henry,4,18,25,4,4.5,72,7,2,0,0,0
LH Ferguson,2,4,6,1,4,66.67,4,1,0,0,0
MP Stoinis,7,87,113,6,14.5,76.99,22,14,0,0,0
AT Carey,9,375,360,6,62.5,104.17,85,46,2,3,0
NM Coulter-Nile,3,98,72,3,32.67,136.11,92,8,4,1,0
PJ Cummins,8,51,68,7,7.29,75,23,3,0,0,0
MA Starc,8,68,76,6,11.33,89.47,29,3,2,0,0
E Lewis,5,131,161,5,26.2,81.37,70,12,4,2,0
JO Holder,7,170,156,7,24.29,108.97,51,16,8,1,0
AD Russell,3,36,29,3,12,124.14,21,3,3,0,0
CR Brathwaite,6,154,145,5,30.8,106.21,101,13,8,0,1
AR Nurse,2,20,26,1,20,76.92,19,4,0,0,0
SS Cottrell,5,33,47,4,8.25,70.21,15,3,1,0,0
O Thomas,6,13,47,2,6.5,27.66,6,1,0,0,0
Mustafizur Rahman,3,1,7,3,0.33,14.29,1,0,0,0,0
Noor Ali Zadran,3,63,103,3,21,61.17,32,9,0,0,0
Ikram Alikhil,7,142,246,5,28.4,57.72,86,10,0,1,0
Aftab Alam,3,14,12,2,7,116.67,14,3,0,0,0
A Zampa,1,1,3,1,1,33.33,1,0,0,0,0
SE Marsh,2,26,35,2,13,74.29,23,2,0,0,0
KW Richardson,1,1,1,0,0,100,1,0,0,0,0
Shaheen Shah Afridi,1,1,6,0,0,16.67,1,0,0,0,0
ST Gabriel,2,3,10,1,3,30,3,0,0,0,0
TAM Siriwardana,1,3,4,1,3,75,3,0,0,0,0
Asghar Afghan,6,154,177,6,25.67,87.01,44,11,5,0,0
V Shankar,3,58,75,2,29,77.33,29,6,0,0,0
KM Jadhav,4,80,99,2,40,80.81,52,6,1,1,0
Liton Das,5,184,167,4,46,110.18,94,16,5,1,0
JM Vince,3,40,51,3,13.33,78.43,26,5,0,0,0
Sabbir Rahman,2,36,37,2,18,97.3,36,5,0,0,0
WIA Fernando,4,203,192,4,50.75,105.73,104,23,4,0,1
Mohammed Shami,3,2,6,3,0.67,33.33,1,0,0,0,0
Kuldeep Yadav,2,1,2,0,0,50,1,0,0,0,0
JJ Bumrah,1,1,1,0,0,100,1,0,0,0,0
KAJ Roach,2,28,52,1,28,53.85,14,3,1,0,0
Samiullah Shinwari,3,74,92,1,74,80.43,49,4,1,0,0
SW Ambris,2,36,46,2,18,78.26,31,3,0,0,0
FA Allen,2,51,33,2,25.5,154.55,51,7,1,1,0
JP Behrendorff,3,12,11,2,6,109.09,11,0,0,0,0
NM Lyon,3,8,10,1,8,80,5,0,0,0,0
HM Nicholls,4,91,149,4,22.75,61.07,55,8,0,1,0
IS Sodhi,1,5,4,1,5,125,5,1,0,0,0
TA Boult,4,10,19,1,10,52.63,4,1,0,0,0
RR Pant,4,116,130,4,29,89.23,48,15,1,0,0
KD Karthik,2,14,34,2,7,41.18,8,2,0,0,0
B Kumar,2,2,4,2,1,50,2,0,0,0,0
Rubel Hossain,1,9,11,1,9,81.82,9,1,0,0,0
TG Southee,1,7,16,0,0,43.75,7,0,0,0,0
Sayed Shirzad,1,25,17,1,25,147.06,25,2,2,0,0
RA Jadeja,1,77,59,1,77,130.51,77,4,4,1,0
YS Chahal,1,5,5,1,5,100,5,1,0,0,0
PSP Handscomb,1,4,12,1,4,33.33,4,0,0,0,0
