Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
JJ Roy,7,443,384,7,63.29,115.36,153,51,12,4,1
JM Bairstow,11,532,573,11,48.36,92.84,111,68,11,2,2
JE Root,11,556,621,9,61.78,89.53,107,48,2,3,2
EJG Morgan,10,371,334,9,41.22,111.08,148,26,22,1,1
BA Stokes,10,465,499,7,66.43,93.19,89,38,12,5,0
JC Buttler,9,312,254,9,34.67,122.83,103,22,8,2,1
MM Ali,5,75,67,4,18.75,111.94,31,3,5,0,0
CR Woakes,10,134,149,8,16.75,89.93,40,9,3,0,0
LE Plunkett,5,62,41,1,62,151.22,27,7,1,0,0
JC Archer,6,13,22,4,3.25,59.09,7,1,0,0,0
Q de Kock,9,305,351,8,38.12,86.89,68,34,4,3,0
HM Amla,7,203,313,5,40.6,64.86,80,16,0,2,0
AK Markram,6,140,186,6,23.33,75.27,45,17,1,0,0
F du Plessis,8,387,432,6,64.5,89.58,100,36,4,3,1
HE van der Dussen,6,311,344,5,62.2,90.41,95,14,10,3,0
JP Duminy,4,70,72,4,17.5,97.22,45,6,0,0,0
D Pretorius,2,3,6,2,1.5,50,2,0,0,0,0
AL Phehlukwayo,7,133,156,4,33.25,85.26,46,16,2,0,0
K Rabada,4,58,70,2,29,82.86,31,4,1,0,0
L Ngidi,2,7,11,1,7,63.64,6,0,1,0,0
Imran Tahir,4,11,16,2,5.5,68.75,10,0,0,0,0
Imam-ul-Haq,8,305,400,8,38.12,76.25,100,32,1,1,1
Fakhar Zaman,8,186,227,8,23.25,81.94,62,24,3,1,0
Babar Azam,8,474,540,7,67.71,87.78,101,50,2,3,1
Haris Sohail,5,198,208,5,39.6,95.19,89,18,5,2,0
Sarfaraz Ahmed,8,143,164,5,28.6,87.2,55,10,0,1,0
Mohammad Hafeez,8,253,285,8,31.62,88.77,84,22,5,1,0
Imad Wasim,5,162,138,3,54,117.39,49,20,1,0,0
Shadab Khan,6,43,39,3,14.33,110.26,20,4,0,0,0
Hasan Ali,3,43,24,2,21.5,179.17,32,3,4,0,0
Wahab Riaz,6,88,69,5,17.6,127.54,45,5,6,0,0
Mohammad Amir,3,11,14,2,5.5,78.57,8,1,0,0,0
CH Gayle,8,242,274,8,30.25,88.32,87,26,12,2,0
SD Hope,8,274,389,8,34.25,70.44,96,21,3,3,0
DM Bravo,2,19,19,2,9.5,100,19,0,2,0,0
N Pooran,8,367,366,7,52.43,100.27,118,33,10,2,1
SO Hetmyer,8,257,253,7,36.71,101.58,54,25,6,2,0
HDRL Thirimanne,5,143,163,4,35.75,87.73,53,11,0,1,0
MDKJ Perera,7,273,246,7,39,110.98,78,32,1,3,0
FDM Karunaratne,7,222,311,6,37,71.38,97,22,0,2,0
BKG Mendis,7,143,213,7,20.43,67.14,46,8,2,0,0
DM de Silva,7,108,174,4,27,62.07,29,8,0,0,0
AD Mathews,7,244,314,6,40.67,77.71,113,20,4,1,1
BMAJ Mendis,3,19,51,3,6.33,37.25,18,1,1,0,0
NLTC Perera,6,61,64,6,10.17,95.31,27,0,3,0,0
I Udana,7,45,75,6,7.5,60,17,3,1,0,0
RAS Lakmal,3,27,33,1,27,81.82,15,3,0,0,0
SL Malinga,5,11,28,5,2.2,39.29,4,2,0,0,0
MJ Guptill,10,186,221,9,20.67,84.16,73,22,4,1,0
C Munro,6,125,128,5,25,97.66,58,17,2,1,0
Mohammad Shahzad,2,7,15,2,3.5,46.67,7,1,0,0,0
Rahmat Shah,9,254,390,9,28.22,65.13,62,31,1,1,0
Hazratullah Zazai,5,96,102,5,19.2,94.12,34,12,2,0,0
Hashmatullah Shahidi,8,197,349,8,24.62,56.45,76,20,2,2,0
Mohammad Nabi,9,107,167,9,11.89,64.07,52,5,2,1,0
Gulbadin Naib,9,194,243,9,21.56,79.84,47,20,2,0,0
