Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
S Elworthy,3,25,47,3,8.33,53.19,23,3,0,0,0
AA Donald,2,10,34,2,5,29.41,7,0,0,0,0
DPMD Jayawardene,4,102,106,4,25.5,96.23,45,16,0,0,0
UDU Chandana,2,9,23,2,4.5,39.13,9,1,0,0,0
S Lee,1,2,8,1,2,25,2,0,0,0,0
SK Warne,3,34,44,3,11.33,77.27,18,3,0,0,0
DW Fleming,3,12,16,1,12,75,8,0,0,0,0
AC Dale,1,3,5,0,0,60,3,0,0,0,0
AC Parore,5,62,73,3,20.67,84.93,26,10,1,0,0
,1,0,1,23254,0,0,0,0,0,0,0
Saleem Malik,4,19,46,4,4.75,41.3,8,2,0,0,0
Bruce Patterson,1,0,5,1,0,0,0,0,0,0,0
Mike Smith,1,3,3,1,3,100,3,0,0,0,0
Ian Stanger,1,3,24,1,3,12.5,3,0,0,0,0
Ian Philip,1,0,6,1,0,0,0,0,0,0,0
George Salmond,1,5,7,1,5,71.43,5,0,0,0,0
Gavin Hamilton,1,75,109,1,75,68.81,75,3,3,1,0
James Brinkley,1,23,44,1,23,52.27,23,3,0,0,0
Alec Davies,1,19,95,1,19,20,19,1,0,0,0
John Blain,1,0,5,1,0,0,0,0,0,0,0
Asim Butt,4,21,25,4,5.25,84,11,0,2,0,0
Nick Dyer,1,1,4,0,0,25,1,0,0,0,0
Minhajul Abedin,4,139,248,2,69.5,56.05,67,14,0,2,0
NH Fairbrother,2,51,106,2,25.5,48.11,29,3,0,0,0
A Flintoff,2,15,30,2,7.5,50,15,1,1,0,0
MA Ealham,2,5,20,2,2.5,25,5,1,0,0,0
RDB Croft,1,13,27,1,13,48.15,13,2,0,0,0
D Gough,2,30,59,2,15,50.85,19,2,0,0,0
ARC Fraser,2,19,35,1,19,54.29,15,3,0,0,0
AD Mullally,2,1,8,1,1,12.5,1,0,0,0,0
SK Gupta,2,1,8,2,0.5,12.5,1,0,0,0,0
Wajahatullah Wasti,5,151,266,5,30.2,56.77,84,18,2,1,0
DR Martyn,2,29,45,2,14.5,64.44,18,1,0,0,0
PR Reiffel,2,1,5,2,0.5,20,1,0,0,0,0
GD McGrath,2,0,3,1,0,0,0,0,0,0,0
Faruk Ahmed,2,16,40,2,8,40,9,2,0,0,0
IM Stanger,3,44,120,3,14.67,36.67,27,1,0,0,0
CZ Harris,3,73,109,2,36.5,66.97,30,3,0,0,0
DJ Nash,3,16,42,2,8,38.1,9,2,0,0,0
GR Larsen,2,27,31,1,27,87.1,14,3,0,0,0
GI Allott,1,0,2,0,0,0,0,0,0,0,0
SC Williams,3,17,35,2,8.5,48.57,14,1,0,0,0
Neil Johnson,1,6,12,1,6,50,6,0,0,0,0
Grant Flower,1,35,90,2,17.5,38.89,35,4,0,0,0
Paul Strang,1,0,17,1,0,0,0,0,0,0,0
Murray Goodwin,1,4,18,1,4,22.22,4,0,0,0,0
Andy Flower,1,10,24,0,0,41.67,10,0,0,0,0
Alistair Campbell,1,24,35,1,24,68.57,24,2,0,0,0
Guy Whittall,1,28,51,1,28,54.9,28,3,0,0,0
Stuart Carlisle,1,14,38,1,14,36.84,14,2,0,0,0
Heath Streak,1,11,13,0,0,84.62,11,1,0,0,0
Henry Olonga,1,1,3,0,0,33.33,1,0,0,0,0
Nasser Hussain,1,57,93,0,0,61.29,57,7,0,1,0
Alec Stewart,1,12,31,1,12,38.71,12,1,0,0,0
Graeme Hick,1,4,11,1,4,36.36,4,0,0,0,0
Graham Thorpe,1,62,80,1,62,77.5,62,7,0,1,0
Neil Fairbrother,1,7,23,0,0,30.43,7,0,0,0,0
JO Angara,1,6,5,1,6,120,6,1,0,0,0
BP Julian,1,9,6,1,9,150,9,2,0,0,0
TM Moody,5,117,90,1,117,130,56,11,3,1,0
JG Williamson,2,11,35,2,5.5,31.43,10,0,0,0,0
NR Dyer,2,1,13,2,0.5,7.69,1,0,0,0,0
Matt Horne,1,1,20,1,1,5,1,0,0,0,0
Nathan Astle,1,0,6,1,0,0,0,0,0,0,0
Craig McMillan,1,20,25,1,20,80,20,3,0,0,0
Stephen Fleming,1,69,100,1,69,69,69,4,0,1,0
Roger Twose,1,13,25,1,13,52,13,0,1,0,0
Chris Cairns,1,0,4,1,0,0,0,0,0,0,0
Adam Parore,1,0,1,1,0,0,0,0,0,0,0
Chris Harris,1,42,96,1,42,43.75,42,0,0,0,0
Dion Nash,1,21,32,0,0,65.62,21,0,0,0,0
Gavin Larsen,1,3,4,0,0,75,3,0,0,0,0
AJ Hollioake,1,6,13,1,6,46.15,6,0,0,0,0
DN Chudasama,1,3,23,1,3,13.04,3,0,0,0,0
RD King,1,1,30,1,1,3.33,1,0,0,0,0
Neeyamur Rashid,1,1,2,1,1,50,1,0,0,0,0
Shafiuddin Ahmed,1,2,3,0,0,66.67,2,0,0,0,0
Saqlain Mushtaq,4,38,82,4,9.5,46.34,21,2,0,0,0
Waqar Younis,1,12,19,1,12,63.16,12,0,0,0,0
Shoaib Akhtar,4,4,15,0,0,26.67,2,0,0,0,0
MN Hart,1,0,2,1,0,0,0,0,0,0,0
DS Mohanty,1,0,3,1,0,0,0,0,0,0,0
AR Whittall,1,3,6,1,3,50,3,0,0,0,0
AG Huckle,2,0,2,2,0,0,0,0,0,0,0
DP Viljoen,1,5,13,1,5,38.46,5,0,0,0,0
M Mbangwa,1,0,1,1,0,0,0,0,0,0,0
