Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
ST Jayasuriya,5,69,120,5,13.8,57.5,40,6,1,0,0
RS Mahanama,5,124,239,4,31,51.88,36,11,0,0,0
MS Atapattu,5,133,189,5,26.6,70.37,54,12,0,1,0
HP Tillakaratne,1,2,8,1,2,25,2,0,0,0,0
PA de Silva,5,63,104,5,12.6,60.58,56,7,0,1,0
A Ranatunga,5,136,195,6,22.67,69.74,55,13,1,1,0
RS Kaluwitharana,5,88,118,4,22,74.58,55,11,0,1,0
WPUJC Vaas,5,64,86,2,32,74.42,29,4,2,0,0
KEA Upashantha,2,13,35,2,6.5,37.14,8,1,0,0,0
GP Wickramasinghe,3,19,41,2,9.5,46.34,11,1,0,0,0
M Muralidaran,2,10,8,2,5,125,6,2,0,0,0
N Hussain,4,136,230,3,45.33,59.13,88,15,1,1,0
AJ Stewart,3,113,179,3,37.67,63.13,88,10,0,1,0
GA Hick,4,153,227,2,76.5,67.4,72,13,2,2,0
GP Thorpe,3,63,101,2,31.5,62.38,36,9,0,0,0
SC Ganguly,7,380,468,7,54.29,81.2,183,39,8,1,1
SR Tendulkar,7,253,280,6,42.17,90.36,140,30,3,0,1
R Dravid,8,461,537,7,65.86,85.85,145,49,1,3,2
M Azharuddin,7,160,205,6,26.67,78.05,59,11,2,1,0
A Jadeja,7,288,380,6,48,75.79,100,24,4,1,1
RR Singh,6,157,195,5,31.4,80.51,75,7,5,1,0
NR Mongia,6,46,50,3,15.33,92,28,3,1,0,0
HH Gibbs,9,341,467,9,37.89,73.02,101,34,4,2,1
G Kirsten,9,228,412,9,25.33,55.34,82,23,1,1,0
MV Boucher,7,80,126,5,16,63.49,34,5,2,0,0
JH Kallis,8,313,475,6,52.17,65.89,97,18,4,4,0
DJ Cullinan,9,216,388,8,27,55.67,50,21,3,1,0
WJ Cronje,8,98,125,8,12.25,78.4,39,7,2,0,0
JN Rhodes,7,162,182,6,27,89.01,43,13,3,0,0
L Klusener,8,281,230,2,140.5,122.17,52,26,10,2,0
KO Otieno,5,94,169,5,18.8,55.62,54,10,0,1,0
RD Shah,5,155,252,5,31,61.51,50,18,0,1,0
SO Tikolo,5,167,252,5,33.4,66.27,71,19,1,2,0
MO Odumbe,5,121,200,5,24.2,60.5,73,9,0,1,0
HS Modi,2,12,30,2,6,40,7,2,0,0,0
AV Vadher,5,129,233,3,43,55.36,60,12,1,2,0
TM Odoyo,5,119,117,3,39.67,101.71,39,9,6,0,0
AY Karim,5,62,106,4,15.5,58.49,22,7,1,0,0
AO Suji,2,7,9,1,7,77.78,4,0,0,0,0
NC Johnson,7,361,484,6,60.17,74.59,132,43,4,3,1
GW Flower,7,155,287,7,22.14,54.01,50,15,0,1,0
PA Strang,4,55,69,4,13.75,79.71,29,5,2,0,0
MW Goodwin,7,197,297,7,28.14,66.33,57,25,0,1,0
A Flower,7,179,242,6,29.83,73.97,71,11,1,1,0
ADR Campbell,7,123,217,6,20.5,56.68,40,13,0,0,0
GJ Whittall,7,75,128,6,12.5,58.59,21,5,2,0,0
BMW Patterson,2,5,29,2,2.5,17.24,5,1,0,0,0
IL Philip,2,19,81,2,9.5,23.46,16,0,0,0,0
MJD Allingham,3,11,95,3,3.67,11.58,6,0,0,0,0
MJ Smith,4,16,82,4,4,19.51,13,1,0,0,0
G Salmond,4,52,102,4,13,50.98,31,5,0,0,0
GM Hamilton,4,141,206,3,47,68.45,63,12,1,1,0
JE Brinkley,4,31,75,4,7.75,41.33,24,3,0,0,0
AG Davies,4,67,125,2,33.5,53.6,32,6,0,0,0
JAR Blain,4,15,45,3,5,33.33,9,0,0,0,0
AC Gilchrist,10,224,284,10,22.4,78.87,63,28,2,2,0
ME Waugh,10,375,492,9,41.67,76.22,104,39,1,2,1
RT Ponting,10,354,532,9,39.33,66.54,69,33,5,1,0
DS Lehmann,8,136,172,6,22.67,79.07,76,15,0,1,0
SR Waugh,8,398,512,5,79.6,77.73,120,35,6,2,1
MG Bevan,8,264,391,5,52.8,67.52,65,18,2,2,0
Saeed Anwar,10,368,512,9,40.89,71.88,113,42,0,0,2
Shahid Afridi,7,93,105,8,11.62,88.57,37,8,3,0,0
Abdul Razzaq,8,171,390,8,21.38,43.85,60,12,2,1,0
Ijaz Ahmed,9,176,281,8,22,62.63,51,13,2,1,0
Inzamam-ul-Haq,9,254,409,9,28.22,62.1,81,15,1,2,0
Mohammad Yousuf,4,160,215,1,160,74.42,80,13,1,1,0
Azhar Mahmood,8,117,173,7,16.71,67.63,38,9,2,0,0
Wasim Akram,9,140,156,7,20,89.74,37,11,6,0,0
Moin Khan,9,233,213,8,29.12,109.39,63,20,6,1,0
SL Campbell,4,55,130,4,13.75,42.31,36,4,1,0,0
RD Jacobs,4,205,401,2,102.5,51.12,80,19,3,2,0
JC Adams,4,79,157,3,26.33,50.32,53,10,0,1,0
BC Lara,5,106,119,3,35.33,89.08,36,13,2,0,0
S Chanderpaul,4,123,165,2,61.5,74.55,66,13,0,1,0
RL Powell,1,4,22,1,4,18.18,4,0,0,0,0
PV Simmons,3,13,39,3,4.33,33.33,7,1,0,0,0
CEL Ambrose,2,2,16,2,1,12.5,1,0,0,0,0
KLT Arthurton,1,5,12,1,5,41.67,5,0,0,0,0
M Dillon,2,5,30,2,2.5,16.67,5,0,0,0,0
CA Walsh,2,6,12,1,6,50,6,1,0,0,0
Shahriar Hossain,3,41,67,3,13.67,61.19,39,5,0,0,0
Akram Khan,5,62,141,5,12.4,43.97,42,8,0,0,0
Mehrab Hossain,5,121,269,5,24.2,44.98,64,11,1,1,0
Aminul Islam,5,45,123,5,9,36.59,15,5,0,0,0
Khaled Mashud,5,32,83,5,6.4,38.55,17,1,0,0,0
Naimur Rahman,5,114,207,5,22.8,55.07,45,11,0,0,0
Khaled Mahmud,5,49,79,5,9.8,62.03,27,3,0,0,0
Mohammad Rafique,2,13,30,1,13,43.33,13,1,0,0,0
Enamul Haque,4,59,101,3,19.67,58.42,19,6,0,0,0
Hasibul Hossain,3,23,48,3,7.67,47.92,16,1,1,0,0
Manjural Islam,3,8,15,0,0,53.33,6,0,0,0,0
MJ Horne,7,198,334,7,28.29,59.28,74,29,0,1,0
NJ Astle,8,79,134,8,9.88,58.96,26,11,0,0,0
CD McMillan,8,133,275,8,16.62,48.36,32,12,0,0,0
SP Fleming,8,139,238,7,19.86,58.4,42,19,0,0,0
RG Twose,8,305,401,3,101.67,76.06,80,29,3,3,0
CL Cairns,7,182,239,4,45.5,76.15,60,12,5,1,0
M Sheikh,2,15,32,2,7.5,46.88,8,1,0,0,0
MA Suji,3,7,17,1,7,41.18,6,1,0,0,0
SV Carlisle,4,48,68,3,16,70.59,27,2,1,0,0
HH Streak,6,72,127,3,24,56.69,18,4,0,0,0
EA Brandes,2,20,33,1,20,60.61,19,1,1,0,0
HK Olonga,4,12,45,1,12,26.67,5,1,0,0,0
S Ramesh,5,144,218,5,28.8,66.06,55,15,1,1,0
AB Agarkar,1,1,5,1,1,20,1,0,0,0,0
J Srinath,4,25,23,3,8.33,108.7,18,0,2,0,0
A Kumble,3,10,15,1,10,66.67,6,0,0,0,0
BKV Prasad,3,4,13,2,2,30.77,2,0,0,0,0
SM Pollock,6,107,154,6,17.83,69.48,52,8,1,1,0
