Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
MJ Guptill,9,547,523,8,68.38,104.59,237,59,16,1,2
BB McCullum,9,328,174,9,36.44,188.51,77,44,17,4,0
KS Williamson,9,234,300,7,33.43,78,57,28,2,1,0
LRPL Taylor,9,221,359,7,31.57,61.56,56,17,0,1,0
CJ Anderson,8,231,213,7,33,108.45,75,22,9,2,0
GD Elliott,8,310,294,7,44.29,105.44,84,29,7,2,0
L Ronchi,7,73,62,6,12.17,117.74,29,11,1,0,0
HDRL Thirimanne,7,302,356,6,50.33,84.83,139,29,2,2,1
TM Dilshan,7,395,409,6,65.83,96.58,161,46,3,1,2
KC Sangakkara,7,541,511,5,108.2,105.87,124,57,7,0,4
DPMD Jayawardene,5,125,168,5,25,74.4,100,9,1,0,1
AD Mathews,5,195,217,5,39,89.86,51,11,7,1,0
FDM Karunaratne,2,37,53,2,18.5,69.81,23,3,0,0,0
BMAJ Mendis,2,13,21,1,13,61.9,9,1,0,0,0
KMDN Kulasekara,3,29,40,2,14.5,72.5,18,2,1,0,0
HMRKB Herath,1,13,19,1,13,68.42,13,2,0,0,0
SL Malinga,4,4,12,3,1.33,33.33,3,0,0,0,0
RAS Lakmal,1,7,17,0,0,41.18,7,0,0,0,0
DA Warner,8,345,287,7,49.29,120.21,178,38,9,0,1
AJ Finch,8,280,304,8,35,92.11,135,26,6,1,1
SR Watson,7,208,196,5,41.6,106.12,67,22,4,2,0
SPD Smith,7,402,439,6,67,91.57,105,37,4,4,1
GJ Bailey,1,55,69,1,55,79.71,55,3,0,1,0
GJ Maxwell,6,324,178,5,64.8,182.02,102,35,14,2,1
MR Marsh,3,31,31,3,10.33,100,23,3,0,0,0
BJ Haddin,5,126,80,3,42,157.5,43,16,4,0,0
MG Johnson,4,31,20,2,15.5,155,27,4,1,0,0
MM Ali,5,192,182,5,38.4,105.49,128,24,5,0,1
IR Bell,6,262,339,5,52.4,77.29,63,27,0,3,0
GS Ballance,4,36,71,4,9,50.7,10,3,0,0,0
JE Root,5,202,240,5,40.4,84.17,121,19,2,0,1
