Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Flintoff,8,69,298,14,4.32,21.29,29.57,1,0,4/43,28,1,269
A Kumble,1,9.1,38,3,4.15,12.67,18.33,0,0,3/38,5,0,42
A Nel,6,52.2,217,12,4.15,18.08,26.17,0,1,5/45,23,0,209
A Symonds,7,22.2,135,3,6.04,45,44.67,0,0,1/6,10,1,55
AB Agarkar,3,28,112,4,4,28,42,0,0,3/38,9,2,116
Abdur Razzak,9,73.3,344,13,4.68,26.46,33.92,0,0,3/20,22,10,260
AC Botha,7,49,181,5,3.69,36.2,58.8,0,0,2/5,12,6,193
AC Cummins,3,25,149,2,5.96,74.5,75,0,0,1/32,13,3,93
Adeel Raja,1,7.5,61,0,7.79,0,0,0,0,0/61,6,2,16
Aftab Ahmed,4,5.1,38,1,7.35,38,31,0,0,1/12,3,1,9
AJ Hall,9,76,335,14,4.41,23.93,32.57,0,1,5/18,33,3,263
AJ Ireland,1,7,38,1,5.43,38,42,0,0,1/38,6,0,23
AM Samad,3,10.4,85,2,7.97,42.5,32,0,0,1/31,12,1,33
AO Suji,1,3,15,0,5,0,0,0,0,0/15,3,0,14
AR White,5,18.1,89,3,4.9,29.67,36.33,0,0,2/45,2,1,46
Azhar Mahmood,1,7.4,25,0,3.26,0,0,0,0,0/25,1,1,32
BJ Hodge,1,6,17,1,2.83,17,36,0,0,1/17,1,0,23
CB Mpofu,3,29,166,4,5.72,41.5,43.5,0,0,2/58,18,4,105
CD Collymore,7,63.2,268,6,4.23,44.67,63.33,0,0,2/11,23,2,233
CD McMillan,5,22.3,110,3,4.89,36.67,45,0,0,3/23,8,2,70
CH Gayle,8,59.1,281,5,4.75,56.2,71,0,0,2/23,13,3,170
CJ Chibhabha,1,1,11,0,11,0,0,0,0,0/11,2,0,1
CK Langeveldt,8,66,361,14,5.47,25.79,28.29,0,1,5/39,48,5,240
CM Wright,2,14,75,1,5.36,75,84,0,0,1/58,8,0,42
CO Obuya,1,3,8,0,2.67,0,0,0,0,0/8,0,0,10
CRD Fernando,7,48.2,278,5,5.75,55.6,58,0,0,3/41,28,6,183
D Langford-Smith,9,66,291,7,4.41,41.57,56.57,0,0,2/27,33,0,265
Danish Kaneria,2,13,93,3,7.15,31,26,0,0,2/48,6,7,45
DBL Powell,9,85,385,14,4.53,27.5,36.43,0,0,3/38,44,6,333
DCC Borden,3,10,72,2,7.2,36,30,0,0,2/30,5,1,19
DJ Bravo,8,65,361,13,5.55,27.77,30,0,0,3/42,29,7,203
DJ Reekers,3,17,106,1,6.24,106,102,0,0,1/23,13,3,60
DL Hemp,1,2,32,0,16,0,0,0,0,0/32,0,4,3
DL Vettori,10,97.4,447,16,4.58,27.94,36.62,1,0,4/23,20,7,297
DLS van Bunge,2,5.1,60,1,11.61,60,31,0,0,1/4,3,6,12
DR Brown,3,15,126,1,8.4,126,90,0,0,1/86,16,3,38
DR Smith,4,23,111,4,4.83,27.75,34.5,0,0,3/36,9,2,75
DR Tuffey,1,6,40,0,6.67,0,0,0,0,0/40,5,1,23
DT Johnston,7,50.2,258,8,5.13,32.25,37.75,0,0,2/40,31,2,180
E Chigumbura,3,22.3,116,6,5.16,19.33,22.5,0,0,3/50,14,4,96
EC Rainsford,1,7,44,1,6.29,44,42,0,0,1/44,5,0,24
GA Rogers,3,18.2,114,2,6.22,57,55,0,0,1/47,9,6,56
GB Brent,2,20,108,5,5.4,21.6,24,0,0,3/68,7,3,65
GB Hogg,11,82.5,332,21,4.01,15.81,23.67,2,0,4/27,19,5,291
GC Smith,7,25,152,4,6.08,38,37.5,0,0,2/56,10,5,66
GD McGrath,11,80.5,357,26,4.42,13.73,18.65,0,0,3/14,43,4,309
GR Codrington,1,10,70,1,7,70,60,0,0,1/70,7,1,22
H Osinde,2,9.3,76,0,8,0,0,0,0,0/31,9,1,27
HA Varaiya,3,23,98,1,4.26,98,138,0,0,1/19,7,2,85
Harbhajan Singh,2,20,83,0,4.15,0,0,0,0,0/30,2,2,69
HMCM Bandara,1,9.4,53,1,5.48,53,58,0,0,1/53,6,1,31
IDR Bradshaw,3,29,167,2,5.76,83.5,87,0,0,1/27,11,5,93
Iftikhar Anjum,2,20,73,5,3.65,14.6,24,0,0,3/44,7,2,85
IH Romaine,1,3,29,0,9.67,0,0,0,0,0/29,2,1,5
JAR Blain,3,13,90,2,6.92,45,39,0,0,2/29,16,0,45
JD Nel,1,3,24,0,8,0,0,0,0,0/24,4,0,7
JDP Oram,9,62.3,252,10,4.03,25.2,37.5,0,0,3/23,22,3,233
JE Taylor,7,64,306,6,4.78,51,64,0,0,2/42,23,7,227
JEC Franklin,9,65.2,331,11,5.07,30.09,35.64,0,0,3/74,39,3,261
JF Mooney,2,5,36,0,7.2,0,0,0,0,0/14,3,2,15
JH Kallis,10,61,271,5,4.44,54.2,73.2,0,0,2/36,24,2,201
JJ Tucker,3,22,131,0,5.95,0,0,0,0,0/14,9,5,69
JK Kamande,3,24,110,2,4.58,55,72,0,0,2/25,6,2,79
JM Anderson,9,73,329,8,4.51,41.12,54.75,0,0,2/27,33,1,275
JM Davison,3,29,130,2,4.48,65,87,0,0,2/67,7,2,91
JM Kemp,5,13,65,2,5,32.5,39,0,0,2/18,4,3,46
JS Patel,6,54.2,245,7,4.51,35,46.57,0,0,3/25,13,4,163
JWM Dalrymple,3,10,69,0,6.9,0,0,0,0,0/19,8,0,30
KA Pollard,1,3,20,0,6.67,0,0,0,0,0/20,1,0,6
KAD Hurdle,3,23,139,3,6.04,46.33,46,0,0,2/61,11,2,100
KED Carroll,1,1,8,0,8,0,0,0,0,0/8,2,0,4
KJ O'Brien,6,18,100,3,5.56,33.33,36,0,0,1/8,10,1,58
KMDN Kulasekara,2,11,30,0,2.73,0,0,0,0,0/10,4,0,52
KP Pietersen,1,1,2,0,2,0,0,0,0,0/2,0,0,4
KT Sandher,1,10,58,2,5.8,29,30,0,0,2/58,4,2,30
LE Plunkett,3,23,160,4,6.96,40,34.5,0,0,2/46,18,4,77
LN Onyango,2,10,77,1,7.7,77,60,0,0,1/63,9,3,30
LOB Cann,2,11.5,88,1,7.44,88,71,0,0,1/34,5,0,17
LP van Troost,1,4,59,1,14.75,59,24,0,0,1/59,4,5,8
M Muralitharan,10,84.4,351,23,4.15,15.26,22.09,2,0,4/19,16,9,294
M Ntini,7,63,293,6,4.65,48.83,63,0,0,2/26,36,4,240
Mashrafe Mortaza,9,71.2,323,9,4.53,35.89,47.56,1,0,4/38,32,4,288
MBS Jonkman,2,11.1,57,2,5.1,28.5,33.5,0,0,2/22,9,1,46
MF Maharoof,6,44,198,9,4.5,22,29.33,2,0,4/23,23,2,172
MJ Clarke,3,17,96,2,5.65,48,51,0,0,2/33,2,4,48
MJ Mason,5,27.3,134,3,4.87,44.67,55,0,0,2/29,15,1,111
MM Patel,3,26.3,105,4,3.96,26.25,39.75,0,0,2/39,14,2,113
MN Samuels,3,24,129,1,5.38,129,144,0,0,1/58,11,2,68
MO Jones,1,7,74,1,10.57,74,42,0,0,1/74,13,0,20
Mohammad Ashraful,1,0.2,7,0,21,0,0,0,0,0/7,0,1,0
Mohammad Hafeez,2,13,54,3,4.15,18,26,0,0,2/39,3,1,44
Mohammad Kashif,1,7,29,2,4.14,14.5,21,0,0,2/29,5,1,33
Mohammad Rafique,9,72,302,8,4.19,37.75,54,0,0,3/35,16,4,233
Mohammad Sami,2,15,44,4,2.93,11,22.5,0,0,3/29,3,0,65
Mohammad Yousuf,1,0.1,0,1,0,0,1,0,0,2/1000,0,0,1
MP Vaughan,3,22,87,4,3.95,21.75,33,0,0,3/39,3,1,65
MR Gillespie,2,12.1,109,0,8.96,0,0,0,0,0/42,12,3,31
MS Panesar,8,64,283,7,4.42,40.43,54.86,0,0,3/25,23,2,218
Naved-ul-Hasan,1,9,49,0,5.44,0,0,0,0,0/49,7,1,37
NN Odhiambo,1,3,33,0,11,0,0,0,0,0/33,7,0,10
NW Bracken,10,71.4,258,16,3.6,16.12,26.88,1,0,4/19,25,3,287
P Utseya,3,26,101,0,3.88,0,0,0,0,0/26,4,4,92
PD Collingwood,9,58,292,6,5.03,48.67,58,0,0,2/33,27,2,176
PJ Ongondo,3,24,146,4,6.08,36.5,36,0,0,2/64,16,3,90
PJC Hoffmann,3,17,104,1,6.12,104,102,0,0,1/57,16,2,62
PJK Mooney,1,3.3,40,0,11.43,0,0,0,0,0/40,4,1,8
PW Borren,2,18,141,2,7.83,70.5,54,0,0,1/52,8,7,32
RDM Leverock,3,23.3,182,2,7.74,91,70.5,0,0,1/67,10,8,46
RJ Peterson,2,12,61,1,5.08,61,72,0,0,1/39,4,1,33
RM Haq,3,16.5,121,4,7.19,30.25,25.25,0,0,2/43,13,3,40
RN ten Doeschate,3,20,151,2,7.55,75.5,60,0,0,2/76,18,3,59
RP Arnold,3,10.1,46,3,4.52,15.33,20.33,0,0,2/20,1,2,31
RR Sarwan,4,13,73,2,5.62,36.5,39,0,0,1/17,3,2,31
RS Bopara,3,12,56,2,4.67,28,36,0,0,2/43,4,2,52
S Dhaniram,3,27,147,4,5.44,36.75,40.5,0,0,3/41,6,5,75
S Matsikenyeri,1,1,6,0,6,0,0,0,0,0/6,0,0,1
S Mukuddem,2,15,69,5,4.6,13.8,18,0,0,3/19,4,1,56
SB Styris,9,57,242,9,4.25,26.89,38,1,0,4/43,12,4,185
SC Ganguly,1,4,22,1,5.5,22,24,0,0,1/22,3,0,13
SC Williams,3,15,79,2,5.27,39.5,45,0,0,1/21,4,3,45
