Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
SCJ Broad,1,6,32,0,5.33,0,0,0,0,0/32,4,0,21
SE Bond,8,69.4,213,13,3.06,16.38,32.15,0,0,3/31,23,1,311
Shahadat Hossain,1,9,51,0,5.67,0,0,0,0,0/51,3,1,34
Shahid Afridi,1,4,20,3,5,6.67,8,0,0,3/20,2,1,16
Shakib Al Hasan,9,60.5,302,7,4.96,43.14,52.14,0,0,2/12,6,11,166
Shoaib Malik,2,5,33,1,6.6,33,30,0,0,1/9,2,2,17
SI Mahmood,6,48,259,8,5.4,32.38,36,1,0,4/50,30,1,178
SL Malinga,8,58.2,284,18,4.87,15.78,19.44,1,0,4/54,33,3,220
SM Pollock,10,84,296,8,3.52,37,63,0,0,2/17,23,4,335
SO Tikolo,3,19,97,4,5.11,24.25,28.5,0,0,2/34,5,3,64
SR Clark,1,8,19,1,2.38,19,48,0,0,1/19,2,0,40
SR Tendulkar,3,12,49,2,4.08,24.5,36,0,0,1/1,3,0,38
SR Watson,7,44.3,217,4,4.88,54.25,66.75,0,0,1/20,20,3,151
ST Jayasuriya,9,67.1,302,7,4.5,43.14,57.57,0,0,3/38,7,7,186
SW Tait,11,84.3,467,23,5.53,20.3,22.04,1,0,4/39,52,2,317
Syed Rasel,7,62,239,8,3.85,29.88,46.5,0,0,2/25,21,3,254
T Mupariwa,2,19,91,2,4.79,45.5,57,0,0,1/34,5,6,75
Tapash Baisya,1,2.5,35,0,12.35,0,0,0,0,0/35,5,1,4
TBM de Leede,3,18,112,3,6.22,37.33,36,0,0,2/40,12,3,57
TM Dilshan,9,36.5,158,5,4.29,31.6,44.2,0,0,2/22,2,5,110
TM Odoyo,3,24,114,4,4.75,28.5,36,0,0,2/55,10,3,97
U Bhatti,3,22.2,110,1,4.93,110,134,0,0,1/44,13,1,86
Umar Gul,3,23,72,4,3.13,18,34.5,0,0,2/10,7,0,102
V Sehwag,2,10,32,2,3.2,16,30,0,0,2/17,3,0,42
WB Rankin,9,59.2,324,12,5.46,27,29.67,0,0,3/32,31,5,238
WF Stelling,2,16,55,4,3.44,13.75,24,0,0,3/12,4,2,69
WK McCallan,8,58.3,233,10,3.98,23.3,35.1,0,0,2/12,20,4,217
WPUJC Vaas,10,77.4,286,13,3.68,22,35.85,0,0,3/33,28,4,333
Younis Khan,1,1,5,0,5,0,0,0,0,0/5,0,0,4
Yuvraj Singh,1,3,15,0,5,0,0,0,0,0/15,1,1,11
Z Khan,3,29,122,5,4.21,24.4,34.8,0,0,2/32,14,1,118
