Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Zampa,4,33,236,5,7.15,47.2,39.6,0,0,3/60,22,8,79
AD Mathews,1,2,6,1,3,6,12,0,0,1/6,0,0,7
AD Russell,4,19,101,5,5.32,20.2,22.8,0,0,2/4,8,2,68
Aftab Alam,3,20.1,115,4,5.7,28.75,30.25,0,0,3/45,15,1,66
AJ Finch,2,3,20,1,6.67,20,18,0,0,1/13,2,0,6
AK Markram,3,12,76,1,6.33,76,72,0,0,1/22,6,2,30
AL Phehlukwayo,8,61.5,336,11,5.43,30.55,33.73,0,0,2/18,30,3,188
AR Nurse,2,14,86,0,6.14,0,0,0,0,0/31,5,0,21
AU Rashid,11,92,526,11,5.72,47.82,50.18,0,0,3/54,37,11,238
B Kumar,6,51.4,269,10,5.21,26.9,31,0,0,3/43,23,1,160
BA Stokes,11,50.5,246,7,4.84,35.14,43.57,0,0,3/23,23,0,152
BE Hendricks,1,5,25,0,5,0,0,0,0,0/25,5,0,21
BMAJ Mendis,3,11.1,70,0,6.27,0,0,0,0,0/11,1,3,23
C de Grandhomme,10,51,212,6,4.16,35.33,51,0,0,1/14,18,1,180
C Munro,1,1,9,0,9,0,0,0,0,0/9,1,0,1
CAK Rajitha,2,18,123,2,6.83,61.5,54,0,0,1/47,14,4,55
CH Gayle,4,15,80,2,5.33,40,45,0,0,1/8,4,0,37
CH Morris,7,63.5,341,13,5.34,26.23,29.46,0,0,3/13,40,4,214
CR Brathwaite,7,44,323,9,7.34,35.89,29.33,1,0,4/63,28,7,101
CR Woakes,11,85,446,16,5.25,27.88,31.88,0,0,3/20,54,4,296
D Pretorius,3,23,94,5,4.09,18.8,27.6,0,0,3/25,13,0,89
Dawlat Zadran,5,39,288,8,7.38,36,29.25,0,0,3/85,27,9,118
DM de Silva,6,37,197,5,5.32,39.4,44.4,0,0,3/32,11,7,108
FA Allen,3,21,122,1,5.81,122,126,0,0,1/44,13,1,55
FDM Karunaratne,1,1,7,0,7,0,0,0,0,0/7,0,1,4
GJ Maxwell,8,49,295,0,6.02,0,0,0,0,0/15,17,9,116
Gulbadin Naib,9,65.4,420,9,6.4,46.67,43.78,0,0,3/68,35,7,173
Hamid Hassan,5,26,122,1,4.69,122,156,0,0,1/53,13,0,94
Hasan Ali,4,33,256,2,7.76,128,99,0,0,1/67,26,5,79
HH Pandya,9,79,447,10,5.66,44.7,47.4,0,0,3/60,37,3,210
I Udana,7,51.3,296,6,5.75,49.33,51.5,0,0,2/41,26,4,147
Imad Wasim,5,39,188,2,4.82,94,117,0,0,2/48,14,1,106
Imran Tahir,8,76,374,11,4.92,34,41.45,1,0,4/29,30,2,213
IS Sodhi,1,6,35,0,5.83,0,0,0,0,0/35,2,0,12
JC Archer,11,100.5,461,20,4.57,23.05,30.25,0,0,3/27,38,9,371
JDF Vandersay,1,7,50,1,7.14,50,42,0,0,1/50,5,0,19
JDS Neesham,9,54.3,292,15,5.36,19.47,21.8,0,1,5/31,29,3,178
JE Root,3,10,55,2,5.5,27.5,30,0,0,2/27,2,1,24
JJ Bumrah,9,84,371,18,4.42,20.61,28,1,0,4/55,36,1,294
JO Holder,8,61.1,343,8,5.61,42.88,45.88,0,0,3/42,39,3,196
JP Behrendorff,5,44.1,227,9,5.14,25.22,29.44,0,1,5/44,25,2,152
JP Duminy,4,9,61,1,6.78,61,54,0,0,1/15,7,0,23
K Rabada,8,78,397,11,5.09,36.09,42.55,0,0,3/56,43,5,274
KAJ Roach,4,33,121,6,3.67,20.17,33,0,0,3/36,11,1,131
KM Jadhav,3,6,34,0,5.67,0,0,0,0,0/4,3,1,20
KS Williamson,2,15,64,2,4.27,32,45,0,0,1/25,4,0,43
Kuldeep Yadav,7,67,337,6,5.03,56.17,67,0,0,2/32,21,5,184
KW Richardson,2,17.4,109,5,6.17,21.8,21.2,0,0,3/47,12,2,54
L Ngidi,4,33,211,7,6.39,30.14,28.29,0,0,3/64,26,4,101
LE Plunkett,7,56,272,11,4.86,24.73,30.55,0,0,3/42,17,3,164
LH Ferguson,9,83.4,409,21,4.89,19.48,23.9,1,0,4/37,44,5,301
MA Starc,10,92.2,502,27,5.44,18.59,20.52,2,2,5/26,56,7,319
MA Wood,10,89.4,463,18,5.16,25.72,29.89,0,0,3/18,42,4,277
Mashrafe Mortaza,8,56,361,1,6.45,361,336,0,0,1/68,31,8,148
Mehidy Hasan Miraz,7,67,341,6,5.09,56.83,67,0,0,2/47,20,7,187
MJ Henry,9,80.2,392,14,4.88,28,34.43,1,0,4/47,42,8,297
MJ Santner,9,67,323,6,4.82,53.83,67,0,0,2/34,16,10,211
MM Ali,5,43,230,5,5.35,46,51.6,0,0,3/50,13,5,111
Mohammad Amir,8,73,358,17,4.9,21.06,25.76,0,1,5/30,39,1,242
Mohammad Hafeez,7,32,189,2,5.91,94.5,96,0,0,1/43,12,7,84
Mohammad Nabi,9,72.4,335,10,4.61,33.5,43.6,1,0,4/30,14,10,223
Mohammad Saifuddin,7,58,417,13,7.19,32.08,26.77,0,0,3/72,42,8,148
Mohammed Shami,4,35.1,193,14,5.49,13.79,15.07,2,1,5/69,25,3,126
Mosaddek Hossain,7,36,215,3,5.97,71.67,72,0,0,2/33,13,6,91
MP Stoinis,8,40,244,7,6.1,34.86,34.29,0,0,2/37,21,5,109
Mujeeb Ur Rahman,7,57.5,259,7,4.48,37,49.57,0,0,3/39,20,3,195
Mustafizur Rahman,8,72.1,484,20,6.71,24.2,21.65,0,2,5/59,50,8,199
N Pradeep,3,29,157,5,5.41,31.4,34.8,1,0,4/31,21,2,107
NLTC Perera,6,40.2,207,1,5.13,207,242,0,0,1/19,18,1,111
NM Coulter-Nile,5,47,280,4,5.96,70,70.5,0,0,2/58,30,5,136
NM Lyon,4,34,181,3,5.32,60.33,68,0,0,2/53,14,5,105
O Thomas,9,58.1,380,9,6.53,42.22,38.78,1,0,4/27,47,3,185
PJ Cummins,10,86.1,427,14,4.96,30.5,36.93,0,0,3/33,50,5,325
RA Jadeja,2,20,74,2,3.7,37,60,0,0,1/34,3,2,75
Rahmat Shah,4,13,69,1,5.31,69,78,0,0,1/22,7,1,39
RAS Lakmal,3,16,102,0,6.38,0,0,0,0,0/27,8,3,50
Rashid Khan,8,71.5,416,6,5.79,69.33,71.83,0,0,2/17,27,14,219
Rubel Hossain,2,17,131,1,7.71,131,102,0,0,1/48,12,3,37
Samiullah Shinwari,1,8,32,0,4,0,0,0,0,0/32,2,0,27
Sayed Shirzad,1,8,56,1,7,56,48,0,0,1/56,4,2,18
Shadab Khan,6,58,320,9,5.52,35.56,38.67,0,0,3/50,22,8,154
Shaheen Shah Afridi,5,47.1,234,16,4.96,14.62,17.69,1,1,6/35,22,4,166
Shakib Al Hasan,8,74,399,11,5.39,36.27,40.36,0,1,5/29,25,9,204
Shoaib Malik,3,8,47,1,5.88,47,48,0,0,1/10,2,2,22
SL Malinga,7,61.4,373,13,6.05,28.69,28.46,1,0,4/43,44,2,194
Soumya Sarkar,2,14,91,4,6.5,22.75,21,0,0,3/58,8,1,32
SPD Smith,3,4,32,1,8,32,24,0,0,1/6,1,3,11
SS Cottrell,9,67,392,12,5.85,32.67,33.5,1,0,4/56,33,8,211
ST Gabriel,3,20.3,173,2,8.44,86.5,61.5,0,0,2/49,19,3,49
T Shamsi,2,18,116,0,6.44,0,0,0,0,0/54,11,1,45
TA Boult,10,99,479,17,4.84,28.18,34.94,2,0,4/30,54,4,351
TAM Siriwardana,1,2,17,0,8.5,0,0,0,0,0/17,1,1,4
TG Southee,1,9,70,1,7.78,70,54,0,0,1/70,10,1,23
V Shankar,1,5.2,22,2,4.12,11,16,0,0,2/22,2,0,19
Wahab Riaz,8,66.4,400,11,6,36.36,36.36,0,0,3/46,38,6,185
YS Chahal,8,74,442,12,5.97,36.83,37,1,0,4/51,33,14,218
