Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
GW Flower,5,19,83,1,4.37,83,114,0,0,1/33,5,1,60
Hasibul Hossain,4,29,110,3,3.79,36.67,58,0,0,2/25,16,0,133
Heath Streak,1,8,37,0,4.62,0,0,0,0,0/37,3,0,34
Henry Olonga,1,3,27,0,9,0,0,0,0,0/27,1,0,9
HH Streak,7,60,288,11,4.8,26.18,32.73,0,0,3/35,20,3,224
HK Olonga,6,33.2,203,8,6.09,25.38,25,0,0,3/22,19,0,124
HR Bryan,2,15.2,59,3,3.85,19.67,30.67,0,0,2/29,4,0,64
Ian Stanger,1,5,33,0,6.6,0,0,0,0,0/33,2,0,16
ID Austin,2,16.1,55,3,3.4,18.33,32.33,0,0,2/14,5,0,68
IM Stanger,1,4,23,0,5.75,0,0,0,0,0/23,2,0,11
J Srinath,8,72.4,309,12,4.25,25.75,36.33,0,0,3/37,36,2,310
James Brinkley,1,10,29,1,2.9,29,60,0,0,1/29,1,0,47
JAR Blain,4,30.1,161,10,5.34,16.1,18.1,1,0,4/37,16,0,138
JC Adams,1,8,57,0,7.12,0,0,0,0,0/57,2,2,14
JE Brinkley,2,18,88,1,4.89,88,108,0,0,1/45,11,0,64
JH Kallis,8,65.1,257,7,3.94,36.71,55.86,0,0,3/26,31,0,277
JK Kamande,2,13.5,71,1,5.13,71,83,0,0,1/33,5,1,48
JO Angara,3,25,150,3,6,50,50,0,0,2/50,19,1,85
John Blain,1,7,49,0,7,0,0,0,0,0/49,3,0,26
KEA Upashantha,3,28,161,1,5.75,161,168,0,0,1/43,16,1,98
Khaled Mahmud,5,36.5,144,6,3.91,24,36.83,0,0,3/30,12,3,159
KLT Arthurton,1,1,10,0,10,0,0,0,0,0/10,1,0,1
L Klusener,9,75.5,350,17,4.62,20.59,26.76,0,1,5/21,28,5,267
M Dillon,4,36.5,140,8,3.8,17.5,27.62,1,0,4/46,10,1,148
M Mbangwa,2,16,64,0,4,0,0,0,0,0/28,7,0,66
M Muralidaran,5,42.5,157,6,3.67,26.17,42.83,0,0,3/25,12,4,171
M Sheikh,2,7,35,0,5,0,0,0,0,0/14,5,1,27
MA Ealham,4,39.4,156,8,3.93,19.5,29.75,0,0,2/28,13,1,148
MA Suji,5,41.5,199,2,4.76,99.5,125.5,0,0,1/26,24,2,173
Manjural Islam,4,27,94,3,3.48,31.33,54,0,0,2/33,14,0,124
Mark Ealham,1,10,35,2,3.5,17.5,30,0,0,2/35,5,0,44
ME Waugh,2,9,44,0,4.89,0,0,0,0,0/7,2,1,31
MG Bevan,4,18,81,1,4.5,81,108,0,0,1/26,7,1,68
Minhajul Abedin,4,20,107,4,5.35,26.75,30,0,0,1/12,10,0,63
MO Odumbe,5,31,155,3,5,51.67,62,0,0,2/40,16,1,103
Mohammad Rafique,2,11,50,2,4.55,25,33,0,0,1/22,4,1,40
N Boje,2,7.4,60,0,7.83,0,0,0,0,0/29,2,2,18
N Chopra,1,10,33,1,3.3,33,60,0,0,1/33,1,0,34
Naimur Rahman,5,29.5,127,2,4.26,63.5,89.5,0,0,1/5,11,1,110
Nathan Astle,1,5,27,1,5.4,27,30,0,0,1/27,3,0,16
NC Johnson,6,43,214,11,4.98,19.45,23.45,1,0,4/43,20,3,176
Neeyamur Rashid,1,5,20,0,4,0,0,0,0,0/20,3,0,20
Neil Johnson,1,7,20,1,2.86,20,42,0,0,1/20,2,0,34
Nick Dyer,1,9,48,1,5.33,48,54,0,0,1/48,5,0,26
NJ Astle,6,40.3,178,4,4.4,44.5,60.75,0,0,1/16,9,5,139
NR Dyer,2,17,69,4,4.06,17.25,25.5,0,0,2/26,7,0,63
PA de Silva,4,14.5,74,0,4.99,0,0,0,0,0/7,2,1,36
PA Strang,5,35,167,3,4.77,55.67,70,0,0,2/23,8,2,90
Paul Strang,1,9.3,30,0,3.16,0,0,0,0,0/30,1,0,35
Pommie Mbangwa,1,7,28,2,4,14,21,0,0,2/28,4,0,30
PR Reiffel,6,57,238,7,4.18,34,48.86,0,0,3/55,26,2,229
PV Simmons,5,38.5,133,5,3.42,26.6,46.6,0,0,2/33,10,0,160
RD King,4,31.3,95,8,3.02,11.88,23.62,0,0,3/30,6,1,141
RDB Croft,2,12,45,1,3.75,45,72,0,0,1/32,4,0,45
RL Powell,1,1,16,0,16,0,0,0,0,0/16,1,1,0
RR Singh,6,32.3,153,8,4.71,19.12,24.38,0,1,5/31,11,1,115
S Elworthy,8,72,263,10,3.65,26.3,43.2,0,0,2/20,24,5,307
S Lee,2,12,49,1,4.08,49,72,0,0,1/25,5,0,48
Saqlain Mushtaq,10,83,380,17,4.58,22.35,29.29,0,1,5/35,20,9,289
SC Ganguly,7,37.5,195,6,5.15,32.5,37.83,0,0,3/27,16,2,132
Shafiuddin Ahmed,1,8,27,1,3.38,27,48,0,0,1/27,1,0,35
Shahid Afridi,5,22,116,1,5.27,116,132,0,0,1/26,7,1,76
Shoaib Akhtar,10,86.4,452,16,5.22,28.25,32.5,0,0,3/55,34,3,381
SK Warne,10,94.2,361,20,3.83,18.05,28.3,2,0,4/29,20,9,366
SM Pollock,9,84,283,9,3.37,31.44,56,0,1,5/36,26,1,365
SO Tikolo,1,9,62,0,6.89,0,0,0,0,0/62,8,0,23
SR Tendulkar,4,9,63,0,7,0,0,0,0,0/4,6,0,24
SR Waugh,4,18,92,3,5.11,30.67,36,0,0,2/8,8,0,53
ST Jayasuriya,5,30.2,161,3,5.31,53.67,60.67,0,0,1/28,4,5,87
TM Moody,7,51,220,7,4.31,31.43,43.71,0,0,3/25,15,4,171
TM Odoyo,5,46.4,244,6,5.23,40.67,46.67,0,0,2/39,28,4,183
UDU Chandana,2,8,39,0,4.88,0,0,0,0,0/13,5,0,28
Waqar Younis,1,9,36,2,4,18,27,0,0,2/36,4,0,34
Wasim Akram,10,90.3,345,15,3.81,23,36.2,1,0,4/40,21,2,409
WJ Cronje,7,32,157,4,4.91,39.25,48,0,0,2/37,13,0,92
WPUJC Vaas,5,46.5,237,7,5.06,33.86,40.14,0,0,3/46,26,4,177
