Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Flintoff,3,15,82,2,5.47,41,45,0,0,1/28,7,0,40
A Jadeja,1,4,22,1,5.5,22,24,0,0,1/22,2,0,12
A Kumble,7,67.3,283,8,4.19,35.38,50.62,0,0,2/30,16,2,221
AA Donald,9,82.1,327,16,3.98,20.44,30.81,2,0,4/19,30,2,314
AB Agarkar,3,28,167,3,5.96,55.67,56,0,0,1/36,14,0,102
Abdul Razzaq,9,72.5,275,12,3.78,22.92,36.42,0,0,3/24,17,0,288
AC Dale,2,14.1,49,1,3.46,49,85,0,0,1/18,2,0,63
AD Mullally,4,39.1,154,8,3.93,19.25,29.38,1,0,4/31,17,1,169
Adam Hollioake,1,7,35,0,5,0,0,0,0,0/35,2,0,21
AG Huckle,2,20,78,1,3.9,78,120,0,0,1/43,7,0,71
AJ Hollioake,2,10.5,56,1,5.17,56,65,0,0,1/22,4,0,27
Alan Mullally,1,10,16,2,1.6,8,30,0,0,2/16,0,0,52
Andrew Flintoff,1,3,14,0,4.67,0,0,0,0,0/14,1,0,15
Angus Fraser,1,10,27,1,2.7,27,60,0,0,1/27,2,0,45
AO Suji,2,9,38,0,4.22,0,0,0,0,0/6,5,0,37
AR Whittall,3,27,143,3,5.3,47.67,54,0,0,2/41,8,5,87
ARC Fraser,2,20,84,0,4.2,0,0,0,0,0/30,9,1,82
Asim Butt,5,37,147,4,3.97,36.75,55.5,0,0,2/23,8,3,165
AY Karim,5,32,191,1,5.97,191,192,0,0,1/30,8,6,77
Azhar Mahmood,10,85,360,13,4.24,27.69,39.23,0,0,3/24,36,0,320
BKV Prasad,7,64.4,267,9,4.13,29.67,43.11,0,1,5/27,27,1,261
BP Julian,2,17,80,0,4.71,0,0,0,0,0/36,8,0,70
CA Walsh,5,46.4,102,11,2.19,9.27,25.45,1,0,4/25,5,0,244
CD McMillan,1,2,19,0,9.5,0,0,0,0,0/19,3,0,6
CE Bulfin,1,6,31,0,5.17,0,0,0,0,0/31,4,0,23
CEL Ambrose,4,39,83,7,2.13,11.86,33.43,0,0,3/31,5,1,190
Chris Cairns,1,7,46,1,6.57,46,42,0,0,1/46,6,0,23
Chris Harris,1,8,47,0,5.88,0,0,0,0,0/47,4,0,20
CL Cairns,8,62.5,287,11,4.57,26.09,34.27,0,0,3/19,19,4,243
CZ Harris,8,46,210,9,4.57,23.33,30.67,1,0,4/9,11,4,148
D Gough,4,35.5,150,9,4.19,16.67,23.89,1,0,4/34,12,0,133
Darren Gough,1,10,24,2,2.4,12,30,0,0,2/24,2,0,49
Dion Nash,1,10,36,0,3.6,0,0,0,0,0/36,2,1,44
DJ Nash,8,70.1,281,3,4,93.67,140.33,0,0,1/13,36,0,305
DPMD Jayawardene,4,23.2,125,2,5.36,62.5,70,0,0,2/50,13,0,70
DR Martyn,1,2,25,0,12.5,0,0,0,0,0/25,3,1,5
DS Lehmann,1,2,17,0,8.5,0,0,0,0,0/17,3,0,4
DS Mohanty,6,52,257,10,4.94,25.7,31.2,1,0,4/53,33,2,215
DW Fleming,10,87,359,14,4.13,25.64,37.29,0,0,3/57,38,3,351
EA Brandes,2,11,55,0,5,0,0,0,0,0/27,6,0,39
Enamul Haque,4,23.2,115,3,4.93,38.33,46.67,0,0,2/40,9,2,75
GA Hick,1,2.1,17,0,7.85,0,0,0,0,0/17,1,1,6
Gavin Hamilton,1,10,33,2,3.3,16.5,30,0,0,2/33,1,0,43
Gavin Larsen,1,10,35,0,3.5,0,0,0,0,0/35,1,0,31
GD McGrath,10,95.4,368,18,3.85,20.44,31.89,0,1,5/14,26,5,403
Geoff Allott,1,10,64,4,6.4,16,15,1,0,4/64,8,0,34
GI Allott,8,77.4,262,16,3.37,16.38,29.12,1,0,4/37,15,1,322
GJ Whittall,7,39,174,7,4.46,24.86,33.43,0,0,3/35,15,2,150
GM Hamilton,4,25.4,113,1,4.4,113,154,0,0,1/34,8,2,103
GP Wickramasinghe,5,47.4,203,9,4.26,22.56,31.78,0,0,3/30,23,1,184
GR Larsen,7,66,228,6,3.45,38,66,0,0,3/19,14,2,249
Guy Whittall,1,4,23,0,5.75,0,0,0,0,0/23,4,0,15
