Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
JH Kallis,9,485,578,6,80.83,83.91,128,44,7,3,1
GC Smith,10,443,424,9,49.22,104.48,91,55,6,5,0
HH Gibbs,8,342,373,6,57,91.69,72,20,14,4,0
MV Boucher,7,177,129,6,29.5,137.21,75,13,11,2,0
B Zuiderent,3,53,95,2,26.5,55.79,43,7,0,0,0
DJ Reekers,3,38,33,3,12.67,115.15,25,8,0,0,0
AN Kervezee,2,17,54,2,8.5,31.48,17,2,0,0,0
RN ten Doeschate,3,128,148,2,64,86.49,70,21,2,2,0
DLS van Bunge,2,38,49,2,19,77.55,33,5,1,0,0
ES Szwarczynski,2,24,42,2,12,57.14,12,5,0,0,0
TBM de Leede,2,35,58,2,17.5,60.34,21,4,0,0,0
PW Borren,2,26,24,2,13,108.33,24,4,1,0,0
LP van Troost,2,5,10,2,2.5,50,5,1,0,0,0
WF Stelling,1,1,4,0,0,25,1,0,0,0,0
SC Ganguly,3,162,266,3,54,60.9,89,11,2,2,0
V Sehwag,3,164,139,3,54.67,117.99,114,22,4,0,1
RV Uthappa,3,30,48,3,10,62.5,18,4,0,0,0
SR Tendulkar,3,64,58,2,32,110.34,57,3,4,1,0
R Dravid,3,81,112,2,40.5,72.32,60,6,1,1,0
Yuvraj Singh,3,136,116,3,45.33,117.24,83,6,8,1,0
MS Dhoni,3,29,29,3,9.67,100,29,2,1,0,0
Harbhajan Singh,2,17,23,1,17,73.91,17,1,1,0,0
AB Agarkar,2,10,27,2,5,37.04,10,0,0,0,0
Z Khan,2,16,22,1,16,72.73,15,2,0,0,0
MM Patel,2,25,32,2,12.5,78.12,15,3,0,0,0
Tamim Iqbal,9,172,275,9,19.11,62.55,51,25,2,1,0
Shahriar Nafees,6,31,76,6,5.17,40.79,12,2,1,0,0
Mushfiqur Rahim,8,131,273,5,26.2,47.99,56,9,2,1,0
Aftab Ahmed,9,128,151,9,14.22,84.77,35,12,3,0,0
Shakib Al Hasan,9,202,353,7,28.86,57.22,57,15,3,2,0
Habibul Bashar,8,105,229,8,13.12,45.85,32,5,0,0,0
Mohammad Ashraful,9,216,267,6,36,80.9,87,27,1,1,0
Azhar Mahmood,1,2,21,1,2,9.52,2,0,0,0,0
Mohammad Sami,2,17,44,2,8.5,38.64,12,1,0,0,0
J Smits,1,3,12,1,3,25,3,0,0,0,0
Adeel Raja,1,8,14,0,0,57.14,8,1,0,0,0
MBS Jonkman,1,0,2,1,0,0,0,0,0,0,0
RS Bopara,7,165,215,5,33,76.74,52,18,0,1,0
DR Chumney,1,27,51,0,0,52.94,27,0,1,0,0
GR Codrington,1,7,8,0,0,87.5,7,1,0,0,0
SD Outerbridge,2,9,20,2,4.5,45,9,1,0,0,0
MO Jones,1,1,8,1,1,12.5,1,0,0,0,0
F Kasteni,2,9,24,2,4.5,37.5,9,0,0,0,0
BB McCullum,7,117,87,5,23.4,134.48,52,4,6,1,0
DL Vettori,5,28,29,4,7,96.55,14,3,0,0,0
CO Obuya,2,31,44,2,15.5,70.45,21,2,0,0,0
TM Odoyo,2,46,78,2,23,58.97,42,4,1,0,0
JK Kamande,2,29,43,2,14.5,67.44,17,2,1,0,0
LN Onyango,2,16,35,2,8,45.71,10,0,0,0,0
PJ Ongondo,2,7,24,2,3.5,29.17,4,0,0,0,0
HA Varaiya,2,5,23,0,0,21.74,4,0,0,0,0
NFI McCallum,2,25,64,2,12.5,39.06,24,3,1,0,0
JAR Blain,2,41,63,1,41,65.08,23,2,2,0,0
PJC Hoffmann,2,25,19,2,12.5,131.58,18,4,1,0,0
AG Prince,6,107,136,5,21.4,78.68,47,8,1,0,0
JM Kemp,5,74,149,3,24.67,49.66,49,5,2,0,0
Mashrafe Mortaza,7,109,160,6,18.17,68.12,37,9,3,0,0
Mohammad Rafique,6,42,78,4,10.5,53.85,30,1,2,0,0
Abdur Razzak,6,29,54,5,5.8,53.7,15,3,0,0,0
Syed Rasel,4,16,34,4,4,47.06,10,2,0,0,0
Shahid Afridi,1,16,10,1,16,160,16,1,1,0,0
