Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Nehra,3,23.4,120,3,5.07,40,47.33,0,0,2/33,14,2,84
A Shahzad,2,18,96,3,5.33,32,36,0,0,3/43,11,0,65
Abdul Razzaq,8,37,161,5,4.35,32.2,44.4,0,0,2/8,15,3,148
Abdur Razzak,6,48,220,7,4.58,31.43,41.14,0,0,3/29,15,4,164
Abdur Rehman,5,45,199,3,4.42,66.33,90,0,0,1/34,8,5,150
AC Botha,2,19,88,4,4.63,22,28.5,0,0,3/32,7,0,58
AD Mathews,6,36,171,6,4.75,28.5,36,0,0,2/29,17,0,115
AD Russell,3,27.1,132,7,4.86,18.86,23.29,1,0,4/49,13,0,91
Adeel Raja,2,15,75,0,5,0,0,0,0,0/31,10,0,52
AG Cremer,6,46.2,211,6,4.55,35.17,46.33,0,0,3/31,14,3,144
AJ McKay,1,9.5,37,1,3.76,37,59,0,0,1/37,4,0,40
AR Cusack,5,18.2,108,0,5.89,0,0,0,0,0/14,15,0,56
AR White,1,5,23,0,4.6,0,0,0,0,0/23,2,0,13
AS Hansra,5,24,147,2,6.12,73.5,72,0,0,2/23,12,3,61
B Lee,7,54.2,235,13,4.33,18.08,25.08,2,0,4/28,28,3,218
BA Westdijk,3,23,173,1,7.52,173,138,0,0,1/56,24,1,66
BAW Mendis,5,42.4,134,7,3.14,19.14,36.57,0,0,3/35,8,0,162
BP Kruger,1,3.3,23,0,6.57,0,0,0,0,0/23,4,0,10
BP Loots,4,27.4,207,2,7.48,103.5,83,0,0,1/44,19,5,65
BRM Taylor,1,3,23,0,7.67,0,0,0,0,0/23,1,0,2
CB Mpofu,4,27,159,7,5.89,22.71,23.14,1,0,4/62,24,0,91
CH Gayle,1,6,26,0,4.33,0,0,0,0,0/26,0,1,16
CO Obuya,5,11.4,80,1,6.86,80,70,0,0,1/33,5,0,19
CT Tremlett,2,12.3,85,0,6.8,0,0,0,0,0/38,9,2,36
D Bishoo,3,25,106,4,4.24,26.5,37.5,0,0,3/34,11,0,83
DJ Bravo,1,2.1,12,0,5.54,0,0,0,0,0/12,2,0,7
DJ Hussey,2,9,31,2,3.44,15.5,27,0,0,1/12,2,0,31
DJG Sammy,7,46,206,8,4.48,25.75,34.5,0,0,3/21,17,3,156
DL Vettori,5,43,155,3,3.6,51.67,86,0,0,2/25,12,0,159
DS Smith,1,0.5,5,0,6,0,0,0,0,0/5,0,0,1
DT Johnston,5,43.2,240,8,5.54,30,32.5,0,0,2/16,25,3,132
DW Steyn,6,46.1,192,12,4.16,16,23.08,0,1,5/50,15,1,180
E Chigumbura,3,8,59,0,7.38,0,0,0,0,0/18,7,0,14
E Otieno,6,41.3,274,5,6.6,54.8,49.8,0,0,2/61,37,5,141
F du Plessis,2,8,38,1,4.75,38,48,0,0,1/22,2,0,19
GA Lamb,5,35,163,4,4.66,40.75,52.5,0,0,2/21,14,1,109
GH Dockrell,6,46.4,207,7,4.44,29.57,40,0,0,2/23,12,3,148
GP Swann,7,68,309,12,4.54,25.75,34,0,0,3/36,19,12,250
H Osinde,5,36,166,6,4.61,27.67,36,1,0,4/26,24,0,145
H Patel,1,1,19,0,19,0,0,0,0,0/19,3,1,1
Harbhajan Singh,9,87,390,9,4.48,43.33,58,0,0,3/53,20,3,252
HK Bennett,4,24.1,132,6,5.46,22,24.17,1,0,4/16,12,0,82
HMRKB Herath,3,29,124,3,4.28,41.33,58,0,0,2/46,5,1,86
HS Baidwan,6,55,307,13,5.58,23.62,25.38,0,0,3/35,34,5,183
Imran Tahir,5,39.3,150,14,3.8,10.71,16.93,2,0,4/38,9,2,142
J Botha,5,42,171,4,4.07,42.75,63,0,0,2/48,12,2,147
JC Tredwell,2,16,86,4,5.38,21.5,24,1,0,4/48,6,5,57
JD Ryder,5,14.1,81,1,5.72,81,85,0,0,1/15,11,0,52
JDP Oram,6,49.5,221,12,4.43,18.42,24.92,1,0,4/39,27,3,193
