Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
JEC Franklin,4,14,79,0,5.64,0,0,0,0,0/11,7,2,43
JF Mooney,6,45,259,10,5.76,25.9,27,1,0,4/63,27,3,132
JH Kallis,6,30,123,5,4.1,24.6,36,0,0,2/19,11,0,104
JJ Krejza,7,61.5,278,5,4.5,55.6,74.2,0,0,2/28,19,2,184
JK Kamande,5,25,170,3,6.8,56.67,50,0,0,2/46,15,2,66
JM Anderson,5,43,282,4,6.56,70.5,64.5,0,0,2/16,33,3,130
JM Davison,5,35,197,5,5.63,39.4,42,0,0,2/56,8,5,80
JO Ngoche,3,28,150,2,5.36,75,84,0,0,1/26,16,1,91
JP Duminy,5,17,85,2,5,42.5,51,0,0,1/11,5,2,51
KA Pollard,5,31.5,157,2,4.93,78.5,95.5,0,0,1/37,11,0,85
KAJ Roach,6,46,195,13,4.24,15,21.23,0,1,6/27,26,0,178
KD Mills,3,20.4,74,6,3.58,12.33,20.67,0,0,2/2,9,1,89
Khurram Chohan,4,28.2,156,2,5.51,78,85,0,0,2/44,20,0,96
KJ O'Brien,4,17,115,4,6.76,28.75,25.5,1,0,4/71,10,5,47
KMDN Kulasekara,6,48.2,214,5,4.43,42.8,58,0,0,3/16,25,2,182
KP Pietersen,2,10,49,0,4.9,0,0,0,0,0/19,4,1,32
KS Williamson,2,5,30,0,6,0,0,0,0,0/4,2,0,12
LJ Woodcock,1,5.2,24,1,4.5,24,32,0,0,1/24,2,0,16
LJ Wright,2,8,35,0,4.38,0,0,0,0,0/17,3,0,26
LL Tsotsobe,1,5,14,3,2.8,4.67,10,0,0,3/14,3,0,26
LPC Silva,1,3,12,0,4,0,0,0,0,0/12,0,0,8
M Morkel,6,40.2,207,9,5.13,23,26.89,0,0,3/33,31,1,153
M Muralitharan,8,71,291,15,4.1,19.4,28.4,1,0,4/25,14,3,234
Mahmudullah,3,22,125,3,5.68,41.67,44,0,0,1/30,8,1,49
MG Johnson,7,57.3,231,10,4.02,23.1,34.5,2,0,4/19,29,1,236
MH Yardy,3,26,159,2,6.12,79.5,78,0,0,1/46,15,1,68
MJ Clarke,2,8,40,0,5,0,0,0,0,0/19,2,0,16
MM Patel,8,65.5,353,11,5.36,32.09,35.91,1,0,4/48,34,5,206
Mohammad Ashraful,2,11,53,2,4.82,26.5,33,0,0,2/42,5,1,39
Mohammad Hafeez,8,55,193,8,3.51,24.12,41.25,0,0,2/16,10,4,205
Mudassar Bukhari,6,48,252,5,5.25,50.4,57.6,0,0,2/65,31,3,167
Naeem Islam,5,36.5,175,4,4.75,43.75,55.25,0,0,2/29,13,2,110
NL McCullum,8,50,241,8,4.82,30.12,37.5,0,0,3/24,17,5,155
NLTC Perera,4,31,174,7,5.61,24.86,26.57,0,0,3/24,20,2,105
NN Odhiambo,6,43,256,6,5.95,42.67,43,0,0,3/57,31,3,150
NO Miller,2,13,63,0,4.85,0,0,0,0,0/23,6,1,43
P Utseya,6,49,211,6,4.31,35.17,49,0,0,2/24,16,2,162
PA Desai,1,3,20,0,6.67,0,0,0,0,0/20,2,1,10
PD Collingwood,4,23,116,1,5.04,116,138,0,0,1/46,6,4,71
PJ Ongondo,2,13,81,1,6.23,81,78,0,0,1/53,10,1,44
PM Seelaar,6,59.4,306,8,5.13,38.25,44.75,0,0,3/45,17,9,173
PP Chawla,3,28,174,4,6.21,43.5,42,0,0,2/47,11,6,79
PR Stirling,6,46,208,4,4.52,52,69,0,0,2/51,12,3,135
PW Borren,3,18,99,2,5.5,49.5,54,0,0,1/28,10,1,51
R Ashwin,2,20,93,4,4.65,23.25,30,0,0,2/41,5,3,62
R Rampaul,2,15,79,5,5.27,15.8,18,0,1,5/51,9,0,50
Rizwan Cheema,6,40.5,248,6,6.07,41.33,40.83,0,0,2/30,25,4,117
RJ Peterson,7,56,238,15,4.25,15.87,22.4,1,0,4/12,14,9,201
RN ten Doeschate,6,52,322,7,6.19,46,44.57,0,0,3/72,34,3,150
RS Bopara,3,16.4,63,2,3.78,31.5,50,0,0,2/22,8,1,71
Rubel Hossain,6,39.4,216,5,5.45,43.2,47.6,0,0,3/56,22,1,124
RW Price,6,49,169,9,3.45,18.78,32.67,0,0,3/16,18,1,197
S Randiv,1,9,43,0,4.78,0,0,0,0,0/43,3,0,24
S Sreesanth,2,13,105,0,8.08,0,0,0,0,0/52,15,0,37
Saeed Ajmal,3,26,93,5,3.58,18.6,31.2,0,0,2/18,5,1,101
SB Styris,5,28.4,127,4,4.43,31.75,43,0,0,2/17,8,1,79
SC Williams,2,11,40,0,3.64,0,0,0,0,0/11,1,1,34
SCJ Broad,3,25.4,153,6,5.96,25.5,25.67,1,0,4/15,18,1,82
Shafiul Islam,6,39.2,203,6,5.16,33.83,39.33,1,0,4/21,22,1,134
Shahid Afridi,8,74.3,270,21,3.62,12.86,21.29,2,2,5/16,18,2,267
Shakib Al Hasan,6,46.2,223,8,4.81,27.88,34.75,0,0,2/28,16,2,136
Shoaib Akhtar,3,24,122,3,5.08,40.67,48,0,0,2/42,13,4,96
SJ Benn,6,47.5,238,12,4.98,19.83,23.92,2,0,4/18,26,1,154
SK Raina,1,2,12,1,6,12,12,0,0,1/12,1,0,4
SL Malinga,6,48.4,270,13,5.55,20.77,22.46,0,1,6/38,31,1,169
SO Ngoche,2,14,85,1,6.07,85,84,0,0,1/46,9,0,34
SO Tikolo,3,21,117,1,5.57,117,126,0,0,1/44,7,4,65
Sohrawordi Shuvo,1,10,33,1,3.3,33,60,0,0,1/33,1,0,37
SPD Smith,5,27,139,1,5.15,139,162,0,0,1/44,11,1,69
SR Tendulkar,2,4,21,0,5.25,0,0,0,0,0/9,0,0,9
SR Watson,7,39,178,3,4.56,59.33,78,0,0,1/9,20,4,145
SW Masakadza,1,6,44,0,7.33,0,0,0,0,0/44,6,0,21
SW Tait,7,52,264,11,5.08,24,28.36,0,0,3/35,23,3,205
T Panyangara,2,11.3,93,0,8.09,0,0,0,0,0/42,9,4,31
TG Gordon,1,0.3,1,0,2,0,0,0,0,0/1,0,0,3
TG Southee,8,72.2,312,18,4.31,17.33,24.11,0,0,3/13,36,3,283
TLW Cooper,6,27.2,153,4,5.6,38.25,41,0,0,2/31,10,6,83
TM Dilshan,7,31,126,8,4.06,15.75,23.25,1,0,4/4,4,0,91
TM Odoyo,4,25,134,3,5.36,44.67,50,0,0,3/41,10,1,89
TT Bresnan,7,63,309,9,4.9,34.33,42,0,1,5/48,36,2,214
TT Samaraweera,1,2,4,1,2,4,12,0,0,1/4,0,0,8
Umar Gul,8,60.3,272,14,4.5,19.43,25.93,0,0,3/30,32,2,240
V Kohli,2,2,12,0,6,0,0,0,0,0/6,1,0,4
Wahab Riaz,5,33.5,158,8,4.67,19.75,25.38,0,1,5/46,18,0,126
WB Rankin,6,55,315,3,5.73,105,110,0,0,1/35,34,4,176
WD Balaji Rao,6,54,299,9,5.54,33.22,36,1,0,4/57,21,6,153
WD Parnell,1,4,4,0,1,0,0,0,0,0/4,0,0,20
YK Pathan,6,35,167,1,4.77,167,210,0,0,1/49,13,0,93
Yuvraj Singh,9,75,377,15,5.03,25.13,30,0,1,5/31,27,7,219
Z Khan,9,81.3,394,21,4.83,18.76,23.29,0,0,3/20,42,3,277
